"trial","stopped_at_n","selected_direction","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps","fwd_violation","fwd_stopped_at_n","fwd_T1_","fwd_T2_","fwd_s1","fwd_s2","fwd_beta_allowed","fwd_margin","fwd_reason","rev_violation","rev_stopped_at_n","rev_T1_","rev_T2_","rev_s1","rev_s2","rev_beta_allowed","rev_margin","rev_reason"
1,10050,"reverse",0.835590292247506,0.0925461916650541,0.382855795224044,0.27510609639403,0.0850926651414972,-0.00745352652355681,"max_iter reached without violation in either orientation",0,0.658620689655173,0,10050,0.129286730042241,0.775615324477522,0.322029912850769,0.427083130081252,0.750201812727634,-0.025413511749888,"max_iter reached without violation",0,10050,0.835590292247506,0.0925461916650541,0.382855795224044,0.27510609639403,0.0850926651414972,-0.00745352652355681,"max_iter reached without violation"
2,6780,"forward",0.127847491177109,0.752223972793458,0.318004635308001,0.442294430999668,0.752982602832268,0.000758630038810382,"violation in forward orientation",1,0.658620689655173,1,6780,0.127847491177109,0.752223972793458,0.318004635308001,0.442294430999668,0.752982602832268,0.000758630038810382,"violation",0,10050,0.788155587278421,0.124611878693534,0.418999540377154,0.316635364435243,0.109643195163097,-0.0149686835304377,"max_iter reached without violation"
3,10050,"reverse",0.770652152073775,0.124300019910174,0.430131438205025,0.316270202389949,0.118702355787219,-0.00559766412295487,"max_iter reached without violation in either orientation",0,0.658620689655173,0,10050,0.114514920665932,0.790195118889677,0.304458572552056,0.41763146338243,0.778742802230032,-0.0114523166596454,"max_iter reached without violation",0,10050,0.770652152073775,0.124300019910174,0.430131438205025,0.316270202389949,0.118702355787219,-0.00559766412295487,"max_iter reached without violation"
4,5260,"forward",0.118584973940251,0.770515401697367,0.305250679161378,0.433122408668567,0.770878948532946,0.000363546835579709,"violation in forward orientation",1,0.658620689655173,1,5260,0.118584973940251,0.770515401697367,0.305250679161378,0.433122408668567,0.770878948532946,0.000363546835579709,"violation",0,10050,0.82700028156406,0.0982113197835247,0.390123051291044,0.283092201455441,0.0895385516565971,-0.00867276812692756,"max_iter reached without violation"
5,10050,"reverse",0.750965605315487,0.139034567915771,0.441425883331492,0.332822434641459,0.128891417941732,-0.0101431499740391,"max_iter reached without violation in either orientation",0,0.658620689655173,0,10050,0.106164947871438,0.810172007349371,0.293798159424503,0.403392264031217,0.794875997548349,-0.0152960098010221,"max_iter reached without violation",0,10050,0.750965605315487,0.139034567915771,0.441425883331492,0.332822434641459,0.128891417941732,-0.0101431499740391,"max_iter reached without violation"
6,10050,"forward",0.095065527078398,0.825937742752416,0.278696520787828,0.390997946381313,0.816321471441678,-0.00961627131073794,"max_iter reached without violation in either orientation",0,0.658620689655173,0,10050,0.095065527078398,0.825937742752416,0.278696520787828,0.390997946381313,0.816321471441678,-0.00961627131073794,"max_iter reached without violation",0,10050,0.707645048344831,0.16969936104781,0.462185959321072,0.363251080850308,0.151312610086885,-0.0183867509609247,"max_iter reached without violation"
7,3570,"reverse",0.208703457505126,0.596414688943319,0.389778804072875,0.495267880012356,0.596758728871691,0.000344039928372397,"violation in reverse orientation",1,0.658620689655173,0,10050,0.133437536504658,0.756525210805968,0.326698791994364,0.438361661771676,0.742181933737025,-0.0143432770689427,"max_iter reached without violation",1,3570,0.208703457505126,0.596414688943319,0.389778804072875,0.495267880012356,0.596758728871691,0.000344039928372397,"violation"
8,10050,"reverse",0.782130967134714,0.124403975694256,0.422952584681651,0.316392001192122,0.112761326029584,-0.0116426496646722,"max_iter reached without violation in either orientation",0,0.658620689655173,0,10050,0.0872894139138233,0.850230887366514,0.267402804389837,0.369624206336052,0.831345897938511,-0.0188849894280031,"max_iter reached without violation",0,10050,0.782130967134714,0.124403975694256,0.422952584681651,0.316392001192122,0.112761326029584,-0.0116426496646722,"max_iter reached without violation"
9,10050,"forward",0.133956091647996,0.745304954068078,0.32727431538838,0.444447896078278,0.741180020124048,-0.00412493394403035,"max_iter reached without violation in either orientation",0,0.658620689655173,0,10050,0.133956091647996,0.745304954068078,0.32727431538838,0.444447896078278,0.741180020124048,-0.00412493394403035,"max_iter reached without violation",0,10050,0.740617651513606,0.144624437851533,0.446877059668273,0.338750209100656,0.134247153803076,-0.0103772840484565,"max_iter reached without violation"
10,320,"reverse",0.109122932755236,0.781822804489779,0.253028530999965,0.454050778410301,0.78916079954071,0.00733799505093069,"violation in reverse orientation",1,0.658620689655173,0,10050,0.131881480378971,0.765880826681515,0.324961536185438,0.432983974187178,0.745188429449028,-0.0206923972324875,"max_iter reached without violation",1,320,0.109122932755236,0.781822804489779,0.253028530999965,0.454050778410301,0.78916079954071,0.00733799505093069,"violation"
11,10050,"reverse",0.750868037657105,0.134681960491445,0.4414788014059,0.328077084542106,0.128941915519988,-0.00574004497145719,"max_iter reached without violation in either orientation",0,0.658620689655173,0,10050,0.114827631661254,0.791263226646362,0.304847042813102,0.416908880367573,0.778138605343421,-0.013124621302941,"max_iter reached without violation",0,10050,0.750868037657105,0.134681960491445,0.4414788014059,0.328077084542106,0.128941915519988,-0.00574004497145719,"max_iter reached without violation"
12,10050,"reverse",0.733386828509694,0.141623337638445,0.450497169041464,0.335590486647563,0.137989572720915,-0.0036337649175297,"max_iter reached without violation in either orientation",0,0.658620689655173,0,10050,0.152790068505175,0.72350900768077,0.3470902359478,0.455199509991158,0.704790413267136,-0.0187185944136334,"max_iter reached without violation",0,10050,0.733386828509694,0.141623337638445,0.450497169041464,0.335590486647563,0.137989572720915,-0.0036337649175297,"max_iter reached without violation"
