"trial","stopped_at_n","T1_","T2_","s1","s2","beta_allowed","reason"
1,120,0.471108652060838,0.471108652060838,0.476969600708473,0.476969600708473,0.479344418488542,"violation"
2,110,0.595695925450792,0.359421695032026,0.498675932796454,0.430356377401623,0.365829454916523,"violation"
3,120,0.610219145968533,0.340726377544866,0.499722145018832,0.422952584681651,0.352688301561684,"violation"
4,270,0.608468337965362,0.347058770313998,0.499505928733089,0.444151137785506,0.354272498154749,"violation"
5,50,0.633221484078925,0.302703523387085,0.496386945839634,0.366606055596467,0.331874925337087,"violation at burn-in"
6,70,0.650646440814195,0.31404296623012,0.499795876701026,0.388875931109034,0.316108172475356,"violation"
7,130,0.690204168996023,0.260832405346859,0.495183905828649,0.374955618675506,0.280314859843943,"violation"
8,70,0.693301336930518,0.277241188468201,0.499183005990176,0.363935405795914,0.277512426406871,"violation"
9,50,0.694627886267327,0.185602443886655,0.5,0.271293199325011,0.276312114930055,"violation at burn-in"
10,50,0.790695604428556,0.185602443886655,0.489897948556636,0.271293199325011,0.189386448872443,"violation at burn-in"
11,130,0.519682040707169,0.428903193915953,0.489897948556636,0.464668871093506,0.434609662122826,"violation"
12,100,0.567304450653971,0.381650946733883,0.495075751779463,0.438634243989226,0.391519123665912,"violation"
13,100,0.773123337341847,0.183202085838654,0.48,0.3,0.205286493652218,"violation"
14,60,0.644217291085464,0.299300157860749,0.498887651569859,0.372677996249965,0.321925507716068,"violation"
15,50,0.590695604428556,0.329547184300638,0.489897948556636,0.384187454245971,0.370353932479635,"violation at burn-in"
16,50,0.753221484078925,0.152443124048614,0.496386945839634,0.237486841740758,0.223294435172772,"violation at burn-in"
17,190,0.477790254308476,0.444379419713815,0.485124994602228,0.476134015911522,0.472514917964733,"violation"
18,90,0.623588627492881,0.303148456126034,0.499505928733089,0.391420332306856,0.340591094418713,"violation"
19,160,0.59173840267094,0.345753113630718,0.499648313816829,0.433012701892219,0.369410369610463,"violation"
20,50,0.612120497999557,0.302703523387085,0.493558507170123,0.366606055596467,0.350967887099155,"violation at burn-in"
21,70,0.70724942038709,0.258332748858254,0.498159879261791,0.349927106111883,0.264891678585476,"violation"
22,140,0.522965162720756,0.408032248397021,0.491301893971933,0.458257569495584,0.431638970476955,"violation"
23,90,0.634807920280589,0.316764059305504,0.499876527964533,0.4,0.330439458500494,"violation"
24,190,0.586033345333652,0.352877465058565,0.499750630335546,0.440347382386356,0.374572518961282,"violation"
25,50,0.714472121627515,0.246493153811911,0.499599839871872,0.324961536185438,0.258356308243845,"violation at burn-in"
26,60,0.627054533411719,0.321042414875782,0.49749371855331,0.386939558874797,0.337455013055956,"violation"
27,90,0.668033071937326,0.261353565337281,0.499505928733089,0.362433476228891,0.300376098061559,"violation"
28,50,0.590695604428556,0.275066704989671,0.489897948556636,0.346987031457949,0.370353932479635,"violation at burn-in"
29,50,0.546842770816634,0.246493153811911,0.48,0.324961536185438,0.410033617218606,"violation at burn-in"
30,50,0.734004077334898,0.216776731760396,0.498397431775084,0.3,0.240683063872383,"violation at burn-in"
31,100,0.58797505025088,0.322962983016713,0.49749371855331,0.407308237088326,0.37281559169739,"violation"
32,480,0.642553547298622,0.255299196504907,0.494022428359505,0.401554055791026,0.323430925348428,"violation"
33,70,0.6067755689,0.33199961247265,0.496723961448963,0.4,0.355804178945183,"violation"
34,180,0.643098032129561,0.31545367936569,0.498485360187225,0.419398452224606,0.322938255099841,"violation"
35,180,0.473277159095412,0.473277159095412,0.483397186075977,0.483397186075977,0.476947847578289,"violation"
36,50,0.694627886267327,0.185602443886655,0.5,0.271293199325011,0.276312114930055,"violation at burn-in"
37,330,0.539006518424425,0.417061537585142,0.498445701695808,0.474520685138621,0.417124151600251,"violation"
38,160,0.604307533541255,0.310165810675098,0.499960935974002,0.413398642353842,0.358037349686811,"violation"
39,70,0.70724942038709,0.239030349700106,0.498159879261791,0.334724986110285,0.264891678585476,"violation"
40,50,0.674472121627515,0.185602443886655,0.499599839871872,0.271293199325011,0.294549804965283,"violation at burn-in"
41,50,0.52439387372613,0.275066704989671,0.47370877129308,0.346987031457949,0.430346219299733,"violation at burn-in"
42,50,0.590695604428556,0.355702309013862,0.489897948556636,0.4,0.370353932479635,"violation at burn-in"
43,50,0.612120497999557,0.302703523387085,0.493558507170123,0.366606055596467,0.350967887099155,"violation at burn-in"
44,90,0.763749500922222,0.171961642022236,0.484831649539365,0.28458329944146,0.213768291595244,"violation"
45,340,0.760096649554212,0.215527626526881,0.463214285237883,0.36551144430367,0.217073528195543,"violation"
46,270,0.575198993350422,0.371146060511864,0.499876527964533,0.454952928721794,0.38437584603588,"violation"
47,60,0.644217291085464,0.299300157860749,0.498887651569859,0.372677996249965,0.321925507716068,"violation"
48,140,0.522965162720756,0.431527677123128,0.491301893971933,0.467024886807929,0.431638970476955,"violation"
49,130,0.825620336881496,0.152606135244443,0.451231057724999,0.278308500232701,0.157785244134128,"violation"
50,230,0.553657984079989,0.399366133546188,0.498466457320574,0.463731882642552,0.403866957246028,"violation"
51,50,0.694627886267327,0.246493153811911,0.5,0.324961536185438,0.276312114930055,"violation at burn-in"
52,50,0.568939475229464,0.381247764905707,0.485386443980464,0.41424630354416,0.390039692250597,"violation at burn-in"
53,50,0.654004077334898,0.302703523387085,0.498397431775085,0.366606055596467,0.31307005731526,"violation at burn-in"
54,270,0.545303618321486,0.406856414739358,0.498337427897901,0.468719763542411,0.41142629998828,"violation"
55,70,0.621535134672804,0.295799605332514,0.498159879261791,0.376883027379226,0.342449171559987,"violation"
56,280,0.724197459158107,0.210615365475534,0.479157423749955,0.357071421427142,0.249556458943135,"violation"
