"violation","n","T1","T2","s1","s2","alpha_allowed","beta_allowed","eta_star","used_fallback_eta","error"
1,3500,0.326857142857143,0.282,0.469064548884701,0.449973332543163,0.367280096871471,0.322422891711219,0.915915915915916,FALSE,NA
1,3500,0.280857142857143,0.346857142857143,0.44941785474463,0.475969815540988,0.31216991097268,0.378169842870463,1.11111111111111,FALSE,NA
1,3500,0.305714285714286,0.301714285714286,0.460709302298629,0.459001934102901,0.346580448955197,0.342580412545591,0.990990990990991,FALSE,NA
1,3500,0.427714285714286,0.2,0.494747183428268,0.4,0.465500000000069,0.237795037543181,0.780780780780781,FALSE,NA
1,3500,0.409714285714286,0.252,0.491780936795966,0.434161260363013,0.426819304944134,0.269104969700554,0.825825825825826,FALSE,NA
1,3500,0.207714285714286,0.456,0.405671124464744,0.498060237320748,0.228847136623132,0.47713275867118,1.33633633633634,FALSE,NA
1,3500,0.319714285714286,0.289142857142857,0.466365801945736,0.45336438469086,0.36000000000028,0.329410618354472,0.945945945945946,FALSE,NA
1,3500,0.294,0.326857142857143,0.455591922667643,0.469064548884701,0.328296309682042,0.361153383301352,1.08108108108108,FALSE,NA
1,3500,0.338571428571429,0.28,0.473223854350698,0.448998886412873,0.374329903008907,0.315758418854692,0.900900900900901,FALSE,NA
1,3500,0.258285714285714,0.381714285714286,0.437691905433071,0.485807049965229,0.284934921703949,0.408363454957111,1.17117117117117,FALSE,NA
1,3500,0.391714285714286,0.254285714285714,0.488133387591581,0.435458941573047,0.415860693500464,0.278432077710849,0.825825825825826,FALSE,NA
1,3500,0.380285714285714,0.230285714285714,0.485456990675712,0.42101568151511,0.422638634961857,0.272638591512487,0.825825825825826,FALSE,NA
1,3500,0.255142857142857,0.38,0.435941486431192,0.485386443980464,0.284268933539621,0.409125992394325,1.17117117117117,FALSE,NA
1,3500,0.304285714285714,0.306285714285714,0.460104247282447,0.460949862252072,0.343578819530721,0.345578783368898,1.00600600600601,FALSE,NA
1,3500,0.275428571428571,0.367142857142857,0.446729978252398,0.482025911743172,0.29986394475103,0.391578167487528,1.23123123123123,FALSE,NA
1,3500,0.204285714285714,0.437714285714286,0.40317869639217,0.496105321273536,0.23529474577768,0.46872321541595,1.38138138138138,FALSE,NA
1,3500,0.308,0.304857142857143,0.461666546329708,0.460346896705216,0.346151056558674,0.343008142468216,1.00600600600601,FALSE,NA
1,3500,0.253714285714286,0.369714285714286,0.435136009701307,0.482727286004283,0.288407173881301,0.404407123610737,1.21621621621622,FALSE,NA
1,3500,0.321714285714286,0.286285714285714,0.467134032245171,0.45202456136988,0.362438964844025,0.327057512273754,0.900900900900901,FALSE,NA
1,3500,0.27,0.354571428571429,0.443959457608462,0.478383246583997,0.303264208125807,0.387835558496911,1.14114114114114,FALSE,NA
1,3500,0.321142857142857,0.308285714285714,0.466915541023191,0.461785266821129,0.351000000000298,0.338200999494237,0.960960960960961,FALSE,NA
1,3500,0.316857142857143,0.303142857142857,0.465251215879713,0.459616432806881,0.351438964844047,0.337768299972584,0.975975975975976,FALSE,NA
1,3500,0.305428571428571,0.305142857142857,0.460588709353229,0.460467907543567,0.344721160094079,0.344435378862176,1.00600600600601,FALSE,NA
1,3500,0.323714285714286,0.304,0.467892452320804,0.459982608366882,0.354500000000291,0.33476230561762,0.960960960960961,FALSE,NA
1,3500,0.299142857142857,0.294,0.457882526597451,0.455591922667643,0.347153306642714,0.342010392262287,0.990990990990991,FALSE,NA
1,3500,0.284857142857143,0.333142857142857,0.451346375880441,0.471337133989622,0.32075204498432,0.369037685671868,1.0960960960961,FALSE,NA
1,3500,0.221428571428571,0.409428571428571,0.415208332266675,0.491728396908833,0.255390642737453,0.443390577367539,1.36636636636637,FALSE,NA
1,3500,0.303714285714286,0.293714285714286,0.459860759760329,0.455462626437815,0.349591855623149,0.339591815570566,0.975975975975976,FALSE,NA
1,3500,0.308857142857143,0.301142857142857,0.462022086228857,0.45875465854277,0.348438964844053,0.340733673739941,0.960960960960961,FALSE,NA
1,3500,0.192285714285714,0.458285714285714,0.394096331329469,0.498256879899663,0.221240410057548,0.487240297255203,1.35135135135135,FALSE,NA
1,3500,0.257142857142857,0.368571428571429,0.43705881545081,0.482417382162215,0.290561035156669,0.401969123821114,1.14114114114114,FALSE,NA
1,3500,0.274571428571429,0.338285714285714,0.446298060923049,0.473126293705939,0.313272489980009,0.376986700700358,1.14114114114114,FALSE,NA
1,3500,0.272571428571429,0.338285714285714,0.44528220815339,0.473126293705939,0.31230765699482,0.378021870866965,1.14114114114114,FALSE,NA
1,3500,0.285142857142857,0.327714285714286,0.451482456096873,0.469380051400846,0.323561035156603,0.366086611872737,1.0960960960961,FALSE,NA
1,3500,0.317714285714286,0.302857142857143,0.465587712861225,0.459493954125134,0.352061035156546,0.337155809536841,0.975975975975976,FALSE,NA
1,3500,0.307428571428571,0.304857142857143,0.461428482972128,0.460346896705216,0.345864897124884,0.343293415217552,0.990990990990991,FALSE,NA
1,3500,0.334,0.290285714285714,0.471639692986076,0.453894170889368,0.366694919678538,0.322980573717373,0.915915915915916,FALSE,NA
1,3500,0.321142857142857,0.292285714285714,0.466915541023191,0.454812901653201,0.359119921644974,0.330262731531726,0.885885885885886,FALSE,NA
1,3500,0.288,0.330571428571429,0.452831094338717,0.470418918819889,0.323561035156603,0.366086611872737,1.0960960960961,FALSE,NA
1,3500,0.322,0.302,0.467242977475317,0.459125255240876,0.354632593974602,0.334632542751752,0.960960960960961,FALSE,NA
1,3500,0.300571428571429,0.304571428571429,0.458506537464799,0.46022567667329,0.342580449114357,0.346580412227206,1.02102102102102,FALSE,NA
1,3500,0.304857142857143,0.320285714285714,0.460346896705216,0.466586300174152,0.336896314772664,0.352324840407603,1.03603603603604,FALSE,NA
1,3500,0.301428571428571,0.332571428571429,0.458878401927027,0.47113445370657,0.329138548347289,0.360281348228486,1.05105105105105,FALSE,NA
1,3500,0.285428571428571,0.329142857142857,0.451618314554244,0.469901943744324,0.323000000000354,0.366674548736495,1.0960960960961,FALSE,NA
1,3500,0.263428571428571,0.349714285714286,0.440492859401459,0.476879653667078,0.302438964844145,0.388741207406802,1.14114114114114,FALSE,NA
1,3500,0.296857142857143,0.314571428571429,0.456873045376762,0.464344963252493,0.335763755147506,0.353477971178143,1.03603603603604,FALSE,NA
1,3500,0.326857142857143,0.285714285714286,0.469064548884701,0.451753951452626,0.365379564250289,0.32423666059143,0.930930930930931,FALSE,NA
1,3500,0.312285714285714,0.314571428571429,0.463425664954775,0.464344963252493,0.343436125748077,0.345721809651063,1.00600600600601,FALSE,NA
1,3500,0.328285714285714,0.29,0.469589399456198,0.453762052181537,0.363920167309757,0.325634418736662,0.930930930930931,FALSE,NA
1,3500,0.291142857142857,0.342857142857143,0.454289218315327,0.474664220738176,0.319084311919978,0.370798556132342,1.08108108108108,FALSE,NA
1,3500,0.36,0.268,0.48,0.442917599560008,0.391728224544751,0.299728166117961,0.870870870870871,FALSE,NA
1,3500,0.312285714285714,0.298571428571429,0.463425664954775,0.457631435340979,0.351438964844047,0.337768299972584,0.945945945945946,FALSE,NA
1,3500,0.304,0.318285714285714,0.459982608366882,0.465811032895687,0.337438964844075,0.351773347361607,1.02102102102102,FALSE,NA
1,3500,0.296,0.317142857142857,0.456490963765987,0.465363583992261,0.334067540131637,0.355210364437481,1.05105105105105,FALSE,NA
1,3500,0.372571428571429,0.242857142857143,0.483489357880474,0.428809457708675,0.411722954381214,0.282008613554413,0.795795795795796,FALSE,NA
1,3500,0.309714285714286,0.291428571428571,0.462375763788259,0.454420465190195,0.353766546905199,0.335480766993439,0.945945945945946,FALSE,NA
1,3500,0.328285714285714,0.292857142857143,0.469589399456198,0.455073441034185,0.362438964844025,0.327057512273754,0.870870870870871,FALSE,NA
1,3500,0.320857142857143,0.286285714285714,0.466805994750168,0.45202456136988,0.362000000000276,0.327480120412386,0.855855855855856,FALSE,NA
1,3500,0.298285714285714,0.294285714285714,0.457505570390979,0.455721003085288,0.346580448955197,0.342580412545591,0.945945945945946,FALSE,NA
1,3500,0.36,0.27,0.48,0.443959457608462,0.390678736425741,0.300678682181823,0.840840840840841,FALSE,NA
1,3500,0.310285714285714,0.309142857142857,0.462610516304935,0.462140185463684,0.345149892751758,0.344006978727164,1.00600600600601,FALSE,NA
1,3500,0.286857142857143,0.317714285714286,0.452294287437924,0.465587712861225,0.329279006562397,0.360136078928103,1.06606606606607,FALSE,NA
1,3500,0.348285714285714,0.252285714285714,0.476427093593767,0.434324340387528,0.393830465247925,0.297830412771969,0.855855855855856,FALSE,NA
1,3500,0.31,0.299428571428571,0.462493243193887,0.458007753254043,0.349879170395876,0.339307692893287,0.960960960960961,FALSE,NA
1,3500,0.304571428571429,0.302571428571429,0.46022567667329,0.459371265082693,0.345578819452452,0.343578783525467,0.990990990990991,FALSE,NA
1,3500,0.483428571428571,0.186857142857143,0.49972531230177,0.389796807350199,0.504891944165262,0.20832048505155,0.690690690690691,FALSE,NA
1,3500,0.222,0.422285714285714,0.41559114523772,0.493923566754937,0.249899433082705,0.450185084329541,1.35135135135135,FALSE,NA
