"eps","n_done","n_expected","n_reject","rejection_rate","rejection_se","rejection_ci_low","rejection_ci_high","mean_stop_reject","sd_stop_reject","se_stop_reject","stop_reject_ci_low","stop_reject_ci_high","mean_stop_all","sd_stop_all","se_stop_all","csv"
0.01,400,400,400,1,0,1,1,52.775,7.56256278583684,0.378128139291842,52.033868846988,53.516131153012,52.775,7.56256278583684,0.378128139291842,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_       0.01NONDP_bidir.csv"
0.0441379310344828,400,400,400,1,0,1,1,53.65,9.37535295910343,0.468767647955171,52.7312154100079,54.5687845899921,53.65,9.37535295910343,0.468767647955171,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.04413793103NONDP_bidir.csv"
0.0782758620689655,400,400,400,1,0,1,1,55,11.3499804025313,0.567499020126565,53.8877019205519,56.1122980794481,55,11.3499804025313,0.567499020126565,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.07827586207NONDP_bidir.csv"
0.112413793103448,400,400,400,1,0,1,1,57.125,14.6465243894833,0.732326219474165,55.6896406098306,58.5603593901694,57.125,14.6465243894833,0.732326219474165,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.1124137931NONDP_bidir.csv"
0.146551724137931,400,400,400,1,0,1,1,60.3,18.5004233508426,0.925021167542128,58.4869585116174,62.1130414883826,60.3,18.5004233508426,0.925021167542128,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.1465517241NONDP_bidir.csv"
0.180689655172414,400,400,400,1,0,1,1,66.225,24.4026247612443,1.22013123806222,63.8335427733981,68.6164572266019,66.225,24.4026247612443,1.22013123806222,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.1806896552NONDP_bidir.csv"
0.214827586206897,400,400,400,1,0,1,1,72.25,30.8271517206507,1.54135758603254,69.2289391313762,75.2710608686238,72.25,30.8271517206507,1.54135758603254,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.2148275862NONDP_bidir.csv"
0.248965517241379,400,400,400,1,0,1,1,82.525,39.9294412143374,1.99647206071687,78.6119147609949,86.4380852390051,82.525,39.9294412143374,1.99647206071687,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.2489655172NONDP_bidir.csv"
0.283103448275862,400,400,400,1,0,1,1,91.2,48.5639386824306,2.42819693412153,86.4407340091218,95.9592659908782,91.2,48.5639386824306,2.42819693412153,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.2831034483NONDP_bidir.csv"
0.317241379310345,400,400,400,1,0,1,1,114.7,74.010837112041,3.70054185560205,107.44693796302,121.95306203698,114.7,74.010837112041,3.70054185560205,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.3172413793NONDP_bidir.csv"
0.351379310344828,400,400,400,1,0,1,1,163.55,125.559988758132,6.27799943790662,151.245121101703,175.854878898297,163.55,125.559988758132,6.27799943790662,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.3513793103NONDP_bidir.csv"
0.38551724137931,400,400,400,1,0,1,1,218.375,177.326594671935,8.86632973359677,200.99699372215,235.75300627785,218.375,177.326594671935,8.86632973359677,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.3855172414NONDP_bidir.csv"
0.419655172413793,400,400,400,1,0,1,1,330.15,310.412414648512,15.5206207324256,299.729583364446,360.570416635554,330.15,310.412414648512,15.5206207324256,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.4196551724NONDP_bidir.csv"
0.453793103448276,400,400,400,1,0,1,1,543.625,520.229956263078,26.0114978131539,492.642464286218,594.607535713782,543.625,520.229956263078,26.0114978131539,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.4537931034NONDP_bidir.csv"
0.487931034482759,400,400,400,1,0,1,1,1113.45,1019.99316794606,50.9996583973031,1013.49066954129,1213.40933045871,1113.45,1019.99316794606,50.9996583973031,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.4879310345NONDP_bidir.csv"
0.522068965517241,400,400,400,1,0,1,1,2339.15,1954.71610858531,97.7358054292656,2147.58782135864,2530.71217864136,2339.15,1954.71610858531,97.7358054292656,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.5220689655NONDP_bidir.csv"
0.556206896551724,400,400,360,0.9,0.015,0.8706,0.9294,4355.83333333333,2973.20323307726,156.70156938501,4048.69825733871,4662.96840932795,4925.25,3298.357142138,164.9178571069,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.5562068966NONDP_bidir.csv"
0.590344827586207,400,400,155,0.3875,0.0243589690873813,0.339756420588733,0.435243579411267,4566.06451612903,3671.87529440051,294.932120978204,3987.99755901175,5144.13147324631,7924.975,3515.60730688391,175.780365344196,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.5903448276NONDP_bidir.csv"
0.62448275862069,400,400,80,0.2,0.02,0.1608,0.2392,1073.875,2583.75866615609,288.87300074896,507.683918532038,1640.06608146796,8254.775,3774.31013456163,188.715506728082,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.6244827586NONDP_bidir.csv"
0.658620689655173,400,400,63,0.1575,0.0182135766668713,0.121801389732932,0.193198610267068,110.952380952381,87.6892292226302,11.0478044372389,89.2986842553927,132.606077649369,8484.6,3625.21105979641,181.26055298982,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.6586206897NONDP_bidir.csv"
0.692758620689655,400,400,92,0.23,0.0210416254125008,0.188758414191498,0.271241585808502,110.869565217391,66.2935890012453,6.9115844331676,97.3228597283828,124.4162707064,7764,4188.0670678024,209.40335339012,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.6927586207NONDP_bidir.csv"
0.726896551724138,400,400,134,0.335,0.0235995233002703,0.28874493433147,0.38125506566853,129.925373134328,79.9294450967148,6.90485238932908,116.391862451243,143.458883817413,6726.775,4688.27149099839,234.41357454992,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.7268965517NONDP_bidir.csv"
0.761034482758621,400,400,155,0.3875,0.0243589690873813,0.339756420588733,0.435243579411267,161.806451612903,106.347085317412,8.54200344993888,145.064124851023,178.548778374783,6218.325,4823.80946854736,241.190473427368,"results/nondp_gaussian_auditor_sweep_bidir/stops_burn50_0.7610344828NONDP_bidir.csv"
