mechanism,epsilon,delta,runs,bandwidth_mean,bandwidth_sd,bandwidth_q05,bandwidth_q10,bandwidth_q90,bandwidth_q95,mmd_hat_mean,mmd_hat_sd,mmd_hat_q05,mmd_hat_q10,mmd_hat_q90,mmd_hat_q95,eps_star_mean,eps_star_sd,eps_star_q05,eps_star_q10,eps_star_q90,eps_star_q95,tau_mmd_at_claim_mean,tau_mmd_at_claim_sd,tau_mmd_at_claim_q05,tau_mmd_at_claim_q10,tau_mmd_at_claim_q90,tau_mmd_at_claim_q95,margin_at_claim_mean,margin_at_claim_sd,margin_at_claim_q05,margin_at_claim_q10,margin_at_claim_q90,margin_at_claim_q95,positive_margin_rate,claimed_eps_above_eps_star_rate
NonDPGaussian1,0.01,1e-05,400,141.4492544418816,18.037183323574045,111.38543404263676,118.14451602506237,163.6416897182127,170.32216505768633,0.29029104895260555,0.013085257084124434,0.26819646826292776,0.27399036223378387,0.30630606398583504,0.3094116019130184,0.4164710870405963,0.019307603256264672,0.38391796561419506,0.39242441286564556,0.4401368144110534,0.4447472194372524,0.007085080312424301,1.736895954568825e-18,0.0070850803124243,0.0070850803124243,0.0070850803124243,0.0070850803124243,0.28320596864018116,0.013085257084124434,0.26111138795050337,0.2669052819213595,0.2992209836734106,0.30232652160059403,1.0,0.0
NonDPGaussian1,0.0441379310344827,1e-05,400,32.35560051444566,4.561416108481247,25.251283893417305,26.48449395512208,37.65437486538425,39.141198434398085,0.28954386965093337,0.014056390003485044,0.26691029515134634,0.273154786075364,0.3061125556102163,0.31032088741867614,0.4153735355541172,0.020724676013315874,0.3820315101111431,0.39119678538698915,0.43984968977155403,0.4460980010074899,0.031218994543972308,6.9475838182753e-18,0.0312189945439723,0.0312189945439723,0.0312189945439723,0.0312189945439723,0.25832487510696095,0.01405639000348504,0.23569130060737398,0.2419357915313917,0.2748935610662439,0.2791018928747037,1.0,0.0
NonDPGaussian1,0.0782758620689655,1e-05,400,18.329024240240415,2.447526398377298,14.395004350568849,15.309462514904075,21.377786059774067,22.50513258682343,0.2891499263372053,0.014023612799324186,0.2644785994425954,0.2718793083218561,0.30563974349649115,0.3106625859498102,0.4147918584219393,0.020676751183125272,0.37846671767080114,0.3893234195776552,0.43914821276504107,0.4466057110928254,0.055334738113843186,1.38951676365506e-17,0.0553347381138432,0.0553347381138432,0.0553347381138432,0.0553347381138432,0.233815188223362,0.014023612799324186,0.20914386132875212,0.21654457020801282,0.2503050053826478,0.25532784783596696,1.0,0.0
NonDPGaussian1,0.1124137931034482,1e-05,400,12.750066768715369,1.7214715174727362,10.225856507898126,10.74600778179738,14.963549120106332,15.800873242661744,0.29002465341730604,0.014506469871583624,0.2619495463620429,0.27049631805777014,0.3077136336064424,0.31062681089407823,0.41608614452822446,0.021388881476039498,0.3747617265043737,0.38729288416637164,0.44222588482175224,0.44655255571190894,0.07941830198155941,1.38951676365506e-17,0.0794183019815594,0.0794183019815594,0.0794183019815594,0.0794183019815594,0.21060635143574657,0.014506469871583622,0.18253124438048335,0.1910780160762106,0.228295331624883,0.23120850891251868,1.0,0.0
NonDPGaussian1,0.146551724137931,1e-05,400,9.788950619105798,1.3243360139018205,7.683746170769455,8.055965191509028,11.554491668604363,12.026801038987704,0.2901550408592607,0.0143031603961569,0.264972366530983,0.2695537812666366,0.3067712543407878,0.31028109915329977,0.4162774122077564,0.021091472807019326,0.37919037106339787,0.3859094994340652,0.440827130289526,0.44603888474833026,0.10345575189177537,2.77903352731012e-17,0.1034557518917754,0.1034557518917754,0.1034557518917754,0.1034557518917754,0.18669928896748517,0.0143031603961569,0.1615166146392075,0.16609802937486107,0.20331550244901225,0.20682534726152424,1.0,0.0
NonDPGaussian1,0.1806896551724138,1e-05,400,7.893317655783519,1.0566625423649236,6.177624801897252,6.574788867174444,9.226370295215595,9.783316004885313,0.2911677048041275,0.014042543431289712,0.2666324588170753,0.2730107219050652,0.3075946521428917,0.3115162645133543,0.4177712857721953,0.020714911060226496,0.3816240873685758,0.3909851500205397,0.442049259287007,0.4478743918753006,0.12743326049611237,2.77903352731012e-17,0.1274332604961124,0.1274332604961124,0.1274332604961124,0.1274332604961124,0.1637344443080151,0.014042543431289713,0.13919919832096292,0.1455774614089528,0.1801613916467793,0.18408300401724184,1.0,0.0
NonDPGaussian1,0.2148275862068965,1e-05,400,6.680833813099772,0.9040568934543214,5.206395289235757,5.503364898487574,7.9210748972432,8.199534251789899,0.2911178839610078,0.013836436021243816,0.26494471002643966,0.2718696503999683,0.3066395554272292,0.3103031762330152,0.4176964577410628,0.02041180701129647,0.37914983618573994,0.3893092241586789,0.4406316870595569,0.4460716909762602,0.15133713894955927,2.77903352731012e-17,0.1513371389495593,0.1513371389495593,0.1513371389495593,0.1513371389495593,0.13978074501144847,0.013836436021243816,0.11360757107688041,0.120532511450409,0.1553024164776698,0.1589660372834559,1.0,0.0
NonDPGaussian1,0.2489655172413793,1e-05,400,5.721008892786692,0.7390263886221636,4.457828713602163,4.807334041480151,6.702603125324254,6.996861382271176,0.2917467952063596,0.01306235889548,0.2681444709689663,0.27417211150186205,0.30731438059530375,0.3095933257641374,0.4186208469110913,0.01927568072506616,0.3838416841091899,0.3926914804587694,0.44163322938964206,0.44501714548995613,0.17515386782919598,2.77903352731012e-17,0.175153867829196,0.175153867829196,0.175153867829196,0.175153867829196,0.11659292737716356,0.01306235889548,0.09299060313977023,0.09901824367266607,0.13216051276610766,0.1344394579349413,1.0,0.0
NonDPGaussian1,0.2831034482758621,1e-05,400,4.997680980976115,0.6621980426506837,3.9702929808411276,4.183455643002193,5.813426608818149,6.1590381063801996,0.29323698566843565,0.01302282836163019,0.2712693376347279,0.2765694591571011,0.3092383966432646,0.3131140602546442,0.42082263431825384,0.019234418583743754,0.3884277426709528,0.39621547260267764,0.4444899623309137,0.4502498852624227,0.1988701272286702,0.0,0.1988701272286702,0.1988701272286702,0.1988701272286702,0.1988701272286702,0.09436685843976543,0.01302282836163019,0.07239921040605768,0.0776993319284309,0.11036826941459439,0.114243933025974,1.0,0.0
NonDPGaussian1,0.3172413793103448,1e-05,400,4.481993625031967,0.5925758746374041,3.5855894642570596,3.786284210296331,5.300875056492163,5.53780839214197,0.2933370862644111,0.013300079663450808,0.2677560715344592,0.2745509261745655,0.3085951948079531,0.3112891241266242,0.4209720446803091,0.019634889749936563,0.38327194625052646,0.3932481558583364,0.4435347525799351,0.4475367963237362,0.22247282588870604,2.77903352731012e-17,0.222472825888706,0.222472825888706,0.222472825888706,0.222472825888706,0.07086426037570502,0.013300079663450806,0.04528324564575319,0.05207810028585946,0.086122368919247,0.08881629823791815,1.0,0.0
