"trial","stopped_at_n"
1,500
2,1510
3,2080
4,1560
5,3490
6,860
7,510
8,1130
9,1770
10,910
11,1980
12,1290
13,2120
14,2450
15,2310
16,1190
17,1020
18,560
19,2390
20,740
21,2440
22,100
23,2000
24,110
25,1490
26,1910
27,1790
28,500
29,880
30,850
31,1730
32,2100
33,1230
34,1470
35,590
36,930
37,1700
38,850
39,1300
40,700
41,2890
42,1370
43,520
44,2390
45,130
46,2090
47,1980
48,3170
49,490
50,290
51,1610
52,1210
53,840
54,320
55,850
56,1350
57,100
58,100
59,2200
60,670
61,780
62,2000
63,1260
64,370
65,2380
66,850
67,830
68,120
69,1010
70,1070
71,1460
72,1500
73,510
74,1080
75,1560
76,1390
77,410
78,170
79,1390
80,510
81,1170
82,960
83,3440
84,310
85,2080
86,2410
87,1200
88,2060
89,2050
90,480
91,1630
92,3190
93,930
94,140
95,850
96,3260
97,1800
98,1640
99,670
100,1050
101,770
102,710
103,2230
104,1240
105,3940
106,180
107,1250
108,150
109,540
110,250
111,1640
112,2170
113,930
114,620
115,1440
116,1170
117,790
118,1620
119,2450
120,1450
121,1270
122,550
123,710
124,290
125,1220
126,530
127,720
128,1410
129,1080
130,760
131,700
132,170
133,2150
134,1630
135,230
136,1440
137,500
138,1460
139,4950
140,1300
141,1340
142,910
143,800
144,860
145,100
146,190
147,1580
148,1120
149,860
150,490
151,1380
152,290
153,670
154,160
155,390
156,820
157,810
158,1210
159,2080
160,790
161,1360
162,940
163,500
164,320
165,200
166,860
167,1510
168,3070
169,400
170,3220
171,1260
172,2260
173,2440
174,2490
175,2510
176,1160
177,1440
178,3020
179,1060
180,1790
181,710
182,610
183,100
184,1030
185,1240
186,760
187,1130
188,1440
189,1180
190,1090
191,1320
192,490
193,490
194,1940
195,3180
196,130
197,960
198,1180
199,2520
200,1110
201,3310
202,1340
203,840
204,2700
205,990
206,670
207,2470
208,550
209,680
210,890
211,1240
212,1130
213,2210
214,870
215,2120
216,2910
217,350
218,1090
219,1970
220,2120
221,2300
222,190
223,1060
224,500
225,200
226,1940
227,1050
228,310
229,2380
230,1450
231,1730
232,2410
233,800
234,690
235,1800
236,360
237,1020
238,1060
239,2440
240,810
241,850
242,650
243,4140
244,2000
245,530
246,900
247,1410
248,1220
249,1880
250,670
