"eta","alpha","beta"
0,-0.00068926976200534,0.99887855146431
0.015015015015015,-0.000668147770286787,0.997928028947962
0.03003003003003,-0.000635779273159054,0.996804625779464
0.045045045045045,-0.000589134222146015,0.995503203858327
0.0600600600600601,-0.00052396139336941,0.994168373445971
0.0750750750750751,-0.000332853002398714,0.992026364543877
0.0900900900900901,0.000407409421379623,0.985674377294939
0.105105105105105,0.00162058846921109,0.976057828882507
0.12012012012012,0.00345066770191305,0.962606282764348
0.135135135135135,0.00600353436422141,0.94499140104918
0.15015015015015,0.00908899534503405,0.924583249331149
0.165165165165165,0.0125857371978841,0.902217508525239
0.18018018018018,0.0161839924870626,0.880399878279415
0.195195195195195,0.0195709222812895,0.861424973640772
0.21021021021021,0.0228331134488567,0.844302686077168
0.225225225225225,0.0257342364012189,0.830267937347495
0.24024024024024,0.0283257178002119,0.818787063607071
0.255255255255255,0.0308080914964909,0.808596271347532
0.27027027027027,0.0333012077548409,0.799033810329746
0.285285285285285,0.0358878236182283,0.789709952407079
0.3003003003003,0.0386424952212265,0.780337594876682
0.315315315315315,0.0416571838066631,0.770624465875461
0.33033033033033,0.045024591427466,0.76031837211512
0.345345345345345,0.0488688551750027,0.749112094278188
0.36036036036036,0.0532869726426962,0.736797167241887
0.375375375375375,0.0583322757397516,0.723295044287513
0.39039039039039,0.063990921296448,0.708697418864851
0.405405405405405,0.0701850121838751,0.693251899090238
0.42042042042042,0.0768200450288898,0.677231415919605
0.435435435435435,0.0837748743822448,0.660963201929721
0.45045045045045,0.090936944245481,0.644745228259339
0.465465465465465,0.098209975295666,0.628809325564347
0.48048048048048,0.105577094332096,0.613193641062417
0.495495495495495,0.113091263235721,0.597782065565038
0.510510510510511,0.120842963203995,0.58238120378625
0.525525525525526,0.128907913841222,0.566842082170649
0.540540540540541,0.137338458345479,0.55106395837063
0.555555555555556,0.14615048038723,0.535020211515749
0.570570570570571,0.155267708945915,0.518842680416707
0.585585585585586,0.164559384652797,0.502756162223827
0.600600600600601,0.173863859842684,0.48701955699584
0.615615615615616,0.183021715161041,0.471881849944653
0.630630630630631,0.191858259122265,0.457602819612407
0.645645645645646,0.20026445178548,0.444326413443283
0.660660660660661,0.208155580035435,0.432145867193917
0.675675675675676,0.215542305671196,0.421004371046957
0.690690690690691,0.222430910319096,0.410845521287126
0.705705705705706,0.228925971846785,0.401482224810409
0.720720720720721,0.235060297437072,0.392830707149814
0.735735735735736,0.240887780341361,0.384786069077731
0.750750750750751,0.246453003814761,0.377263025924448
0.765765765765766,0.251815461691435,0.370159150023265
0.780780780780781,0.256982526173944,0.36345377821908
0.795795795795796,0.262028513229445,0.357031777294547
0.810810810810811,0.266938700617907,0.350900455717196
0.825825825825826,0.271708620539858,0.345053625028924
0.840840840840841,0.276435419754987,0.339369920266111
0.855855855855856,0.281045226162047,0.333924559737853
0.870870870870871,0.285596022709111,0.32864360457216
0.885885885885886,0.290111585739548,0.323494450024757
0.900900900900901,0.29457080216153,0.31849298466655
0.915915915915916,0.299029164387445,0.313579010398964
0.930930930930931,0.303392357027556,0.308847120398959
0.945945945945946,0.307816623374395,0.30412724228549
0.960960960960961,0.312157396373948,0.299568666200834
0.975975975975976,0.316534030460763,0.29504627074552
0.990990990990991,0.320887897796474,0.290613710111491
1.00600600600601,0.32522849036848,0.286264327583619
1.02102102102102,0.329601283088037,0.281945043113837
1.03603603603604,0.33392762770297,0.277736597582982
1.05105105105105,0.33832276747851,0.273521365194352
1.06606606606607,0.34263705098404,0.269442965877113
1.08108108108108,0.347055017065414,0.26532553500602
1.0960960960961,0.351390756163935,0.261339548826399
1.11111111111111,0.355813689471403,0.257330187883158
1.12612612612613,0.360199713896859,0.253406572886262
1.14114114114114,0.364590891675812,0.249531005498115
1.15615615615616,0.369031867179502,0.245662275280557
1.17117117117117,0.373379012350261,0.241923678496602
1.18618618618619,0.377870515958755,0.238110718661396
1.2012012012012,0.382234337219548,0.23445374222906
1.21621621621622,0.386662016835051,0.230787758341084
1.23123123123123,0.391078170326948,0.227177440404574
1.24624624624625,0.395439796557335,0.223653345268096
