"trial","stopped_at_n","T1_","T2_"
1,100,0.82729866178238,0.169497988802976
2,100,0.80958168899613,0.169497988802976
3,100,0.754834749885384,0.0773871604262426
4,100,0.736087993766994,0.196917161866264
5,100,0.782496648004959,0.0773871604262426
6,100,0.81847528303085,0.0773871604262426
7,100,0.782496648004959,0.140876895250788
8,100,0.844726706522386,0.110542589942173
9,100,0.791590827242769,0.155362118432104
10,100,0.8360498589776,0.0588903835656225
11,110,0.813401728210473,0.16711062779199
12,100,0.81847528303085,0
13,100,0.736087993766994,0.110542589942173
14,100,0.800619663953337,0.140876895250788
15,100,0.782496648004959,0.0944351975067976
16,100,0.688198010971615,0.249190318140169
17,100,0.80958168899613,0.125971102622046
18,100,0.861847528526842,0.0588903835656225
19,110,0.788871450881017,0.203751767320527
20,100,0.697890562290509,0.140876895250788
21,100,0.764117462374066,0.210270562759469
22,100,0.764117462374066,0.169497988802976
23,100,0.80958168899613,0.169497988802976
24,100,0.764117462374066,0.140876895250788
25,100,0.791590827242769,0.155362118432104
26,100,0.791590827242769,0.0944351975067976
27,100,0.861847528526842,0.037639602194323
28,100,0.782496648004959,0.0588903835656225
29,100,0.844726706522386,0.037639602194323
30,100,0.736087993766994,0.169497988802976
31,100,0.608643991996867,0.196917161866264
32,100,0.754834749885384,0.0773871604262426
33,100,0.764117462374066,0.210270562759469
34,100,0.782496648004959,0.169497988802976
35,100,0.82729866178238,0.0773871604262426
36,100,0.844726706522386,0.0944351975067976
37,100,0.726625613467613,0.236388991040688
38,100,0.8360498589776,0.155362118432104
39,100,0.81847528303085,0.0588903835656225
40,100,0.844726706522386,0.110542589942173
41,100,0.800619663953337,0.169497988802976
42,100,0.82729866178238,0.037639602194323
43,100,0.81847528303085,0.0944351975067976
44,100,0.853326811385563,0.0773871604262426
45,100,0.80958168899613,0.183336536212048
46,100,0.844726706522386,0.0588903835656225
47,100,0.707526327719587,0.110542589942173
48,100,0.81847528303085,0.140876895250788
49,100,0.81847528303085,0.0773871604262426
50,120,0.82377452936182,0.164953663275073
51,100,0.782496648004959,0.183336536212048
52,100,0.844726706522386,0.037639602194323
53,100,0.800619663953337,0.110542589942173
54,100,0.736087993766994,0.125971102622046
55,100,0.8360498589776,0.125971102622046
56,100,0.82729866178238,0.037639602194323
57,100,0.782496648004959,0.125971102622046
58,100,0.82729866178238,0.0773871604262426
59,100,0.697890562290509,0.169497988802976
60,120,0.740151070195331,0.230231315637113
61,100,0.782496648004959,0.125971102622046
62,100,0.764117462374066,0.196917161866264
63,100,0.82729866178238,0.0773871604262426
64,100,0.800619663953337,0.140876895250788
65,100,0.754834749885384,0.125971102622046
66,100,0.82729866178238,0.125971102622046
67,100,0.717104854685158,0.0944351975067976
68,100,0.782496648004959,0.0944351975067976
69,100,0.628866445396236,0.223421211134818
70,100,0.688198010971615,0.183336536212048
71,100,0.63889422702008,0.223421211134818
72,100,0.791590827242769,0.0773871604262426
73,100,0.717104854685158,0.140876895250788
74,100,0.745491300660262,0.0588903835656225
75,100,0.853326811385563,0.037639602194323
76,100,0.688198010971615,0.169497988802976
77,100,0.688198010971615,0.155362118432104
78,100,0.697890562290509,0.183336536212048
79,100,0.80958168899613,0.0773871604262426
80,100,0.707526327719587,0.125971102622046
81,100,0.81847528303085,0.037639602194323
82,100,0.745491300660262,0.169497988802976
83,100,0.726625613467613,0.210270562759469
