"trial","stopped_at_n","T1_","T2_","s1","s2","beta_allowed","reason"
1,80,0.774470450192812,0.174740905202052,0.484122918275927,0.282566363886433,0.223275592793794,"violation"
2,50,0.714214639785318,0.246325676386375,0.499599839871872,0.324961536185438,0.282931847870154,"violation at burn-in"
3,50,0.524149735523186,0.454544005080244,0.47370877129308,0.448998886412873,0.47110557473643,"violation at burn-in"
4,60,0.710648880037773,0.254153512634792,0.498887651569859,0.339934634239519,0.286462127715401,"violation"
5,50,0.714214639785318,0.274887876149171,0.499599839871872,0.346987031457949,0.282931847870154,"violation at burn-in"
6,60,0.804609111483695,0.155324440018886,0.481894409826699,0.249443825784929,0.193436816193332,"violation"
7,50,0.694370198192144,0.185462625841966,0.5,0.271293199325011,0.302578833970322,"violation at burn-in"
8,70,0.748056013421338,0.23888410166074,0.492598275701905,0.334724986110285,0.249427201527969,"violation"
9,50,0.752965658085686,0.185462625841966,0.496386945839634,0.271293199325011,0.244566408644265,"violation at burn-in"
10,60,0.742790830025014,0.230765122111405,0.495535624910617,0.321022671404304,0.254639995474159,"violation"
11,50,0.733747215185158,0.152320728994355,0.498397431775084,0.237486841740758,0.26359362484285,"violation at burn-in"
12,60,0.819525393632996,0.155324440018886,0.476969600708473,0.249443825784929,0.178668953531262,"violation"
13,80,0.715661634409156,0.260243956848337,0.496078370824611,0.357071421427142,0.281499251083388,"violation"
14,50,0.808689318632526,0.152320728994355,0.485386443980464,0.237486841740758,0.189397207783971,"violation at burn-in"
15,50,0.694370198192144,0.185462625841966,0.5,0.271293199325011,0.302578833970322,"violation at burn-in"
16,50,0.771866129716151,0.152320728994355,0.493558507170123,0.237486841740758,0.225853999848742,"violation at burn-in"
17,70,0.693083233893876,0.258179858708689,0.499183005990176,0.349927106111883,0.303852992759863,"violation"
18,100,0.726224588563297,0.236106069083903,0.491833305094317,0.346987031457949,0.27104140007918,"violation"
19,50,0.694370198192144,0.274887876149171,0.5,0.346987031457949,0.302578833970322,"violation at burn-in"
20,50,0.752965658085686,0.185462625841966,0.496386945839634,0.271293199325011,0.244566408644265,"violation at burn-in"
21,50,0.653747215185158,0.246325676386375,0.498397431775085,0.324961536185438,0.342797611542784,"violation at burn-in"
22,50,0.733747215185158,0.216622118915286,0.498397431775084,0.3,0.26359362484285,"violation at burn-in"
23,50,0.590443122709756,0.274887876149171,0.489897948556636,0.346987031457949,0.405471817773697,"violation at burn-in"
