"trial","stopped_at_n","selected_direction","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps","fwd_violation","fwd_stopped_at_n","fwd_T1_","fwd_T2_","fwd_s1","fwd_s2","fwd_beta_allowed","fwd_margin","fwd_reason","rev_violation","rev_stopped_at_n","rev_T1_","rev_T2_","rev_s1","rev_s2","rev_beta_allowed","rev_margin","rev_reason"
11,50,"reverse",0.0745005976726396,0.772137383051339,0.14,0.493558507170123,0.797476379137126,0.0253389960857863,"violation in reverse orientation",1,1,1,410,0.707405084856474,0.107233440943623,0.480283477664297,0.256376155086789,0.107635975078194,0.000402534134571489,"violation",1,50,0.0745005976726396,0.772137383051339,0.14,0.493558507170123,0.797476379137126,0.0253389960857863,"violation at burn-in"
12,160,"forward",0.732064644419067,0.098198912696676,0.484122918275927,0.217944947177034,0.0985642300867737,0.000365317390097708,"violation in forward orientation",1,1,1,160,0.732064644419067,0.098198912696676,0.484122918275927,0.217944947177034,0.0985642300867737,0.000365317390097708,"violation",1,480,0.0971593547396653,0.660872939948922,0.245789190952102,0.490730040065026,0.735883491546362,0.0750105515974401,"violation"
13,200,"forward",0.735456499876045,0.093342212131644,0.48,0.217944947177034,0.0973164361967264,0.0039742240650824,"violation in forward orientation",1,1,1,200,0.735456499876045,0.093342212131644,0.48,0.217944947177034,0.0973164361967264,0.0039742240650824,"violation",1,280,0.0620871231403043,0.741095662148092,0.176379403212368,0.473466913698673,0.831219701386412,0.0901240392383198,"violation"
14,160,"reverse",0.107204222849119,0.696369530078241,0.230403857389585,0.49228421668788,0.708578709095167,0.0122091790169262,"violation in reverse orientation",1,1,1,480,0.652745591633641,0.122460695431921,0.49228421668788,0.279500732954714,0.127744078899724,0.00528338346780352,"violation",1,160,0.107204222849119,0.696369530078241,0.230403857389585,0.49228421668788,0.708578709095167,0.0122091790169262,"violation"
15,160,"reverse",0.0889840203618664,0.743812550300503,0.20453835214942,0.480722113075735,0.758106354427109,0.0142938041266056,"violation in reverse orientation",1,1,1,260,0.72654942957906,0.0986708283705257,0.479320895340542,0.233160685634272,0.100593164240056,0.00192233586953007,"violation",1,160,0.0889840203618664,0.743812550300503,0.20453835214942,0.480722113075735,0.758106354427109,0.0142938041266056,"violation"
16,70,"forward",0.838923452768525,0.0534488391899586,0.464230765979198,0.118666055184544,0.0592530713869287,0.00580423219697007,"violation in forward orientation",1,1,1,70,0.838923452768525,0.0534488391899586,0.464230765979198,0.118666055184544,0.0592530713869287,0.00580423219697007,"violation",1,100,0.0773148667427289,0.745284595613564,0.17058722109232,0.487749935930288,0.789826402663508,0.0445418070499436,"violation"
17,160,"reverse",0.0981989126966759,0.732064644419067,0.217944947177034,0.484122918275927,0.73305768004219,0.000993035623122918,"violation in reverse orientation",1,1,1,220,0.697497117628721,0.110041851817653,0.488948103518036,0.24410402876541,0.111280912525085,0.00123906070743166,"violation",1,160,0.0981989126966759,0.732064644419067,0.217944947177034,0.484122918275927,0.73305768004219,0.000993035623122918,"violation"
18,410,"reverse",0.0950440596549741,0.730693087638023,0.239285571589617,0.472541699056091,0.741633459736907,0.0109403720988839,"violation in reverse orientation",1,1,1,820,0.658325727821529,0.122972595718922,0.488347259443593,0.289987589223451,0.125691261517264,0.0027186657983416,"violation",1,410,0.0950440596549741,0.730693087638023,0.239285571589617,0.472541699056091,0.741633459736907,0.0109403720988839,"violation"
19,210,"forward",0.735970960811101,0.0956761273668015,0.479157423749955,0.222794048862659,0.0971271765954332,0.00145104922863168,"violation in forward orientation",1,1,1,210,0.735970960811101,0.0956761273668015,0.479157423749955,0.222794048862659,0.0971271765954332,0.00145104922863168,"violation",1,350,0.100013034805779,0.724378818618512,0.242705835218232,0.476517982614614,0.728126384878408,0.00374756625989625,"violation"
20,270,"reverse",0.100030145381257,0.723588777157005,0.2361092955631,0.479783330156173,0.728079873512013,0.00449109635500877,"violation in reverse orientation",1,1,1,330,0.732219612445834,0.0981397119879794,0.474520685138621,0.238606299212479,0.0985072205356872,0.000367508547707868,"violation",1,270,0.100030145381257,0.723588777157005,0.2361092955631,0.479783330156173,0.728079873512013,0.00449109635500877,"violation"
21,150,"forward",0.711740763682334,0.104584519467397,0.489897948556636,0.224697327284703,0.106040967974638,0.00145644850724144,"violation in forward orientation",1,1,1,150,0.711740763682334,0.104584519467397,0.489897948556636,0.224697327284703,0.106040967974638,0.00145644850724144,"violation",1,300,0.11194792501412,0.693397214688188,0.255147016443461,0.486986196473325,0.695683989700422,0.0022867750122344,"violation"
22,90,"forward",0.743018751298959,0.0417124095892457,0.489897948556636,0.104822012578407,0.0945344393692668,0.0528220297800211,"violation in forward orientation",1,1,1,90,0.743018751298959,0.0417124095892457,0.489897948556636,0.104822012578407,0.0945344393692668,0.0528220297800211,"violation",1,670,0.104627572355074,0.709485017374001,0.262788311368045,0.475295220775892,0.715582771311419,0.00609775393741785,"violation"
23,90,"reverse",0.0857374138515053,0.763761939446244,0.17950549357115,0.484831649539365,0.766931545908381,0.00316960646213682,"violation in reverse orientation",1,1,1,230,0.765226234882609,0.08144292018734,0.467143513689158,0.203931119992323,0.0863647627186896,0.00492184253134968,"violation",1,90,0.0857374138515053,0.763761939446244,0.17950549357115,0.484831649539365,0.766931545908381,0.00316960646213682,"violation"
24,110,"forward",0.780482926783159,0.070409677940248,0.475516248386255,0.162877026065172,0.0807521394281903,0.0103424614879423,"violation in forward orientation",1,1,1,110,0.780482926783159,0.070409677940248,0.475516248386255,0.162877026065172,0.0807521394281903,0.0103424614879423,"violation",1,650,0.113202838210408,0.691076900986369,0.273660265344464,0.481322143597362,0.692272781962659,0.00119588097629053,"violation"
25,280,"forward",0.703773210178169,0.105924175370542,0.485031032038999,0.245261210191277,0.108972067105254,0.00304789173471121,"violation in forward orientation",1,1,1,280,0.703773210178169,0.105924175370542,0.485031032038999,0.245261210191277,0.108972067105254,0.00304789173471121,"violation",1,1390,0.101599615006543,0.637935255901545,0.269951986176888,0.490476562562858,0.72381361274928,0.0858783568477344,"violation"
26,60,"forward",0.727070094348715,0.097223697165837,0.49749371855331,0.17950549357115,0.100401622375558,0.00317792520972053,"violation in forward orientation",1,1,1,60,0.727070094348715,0.097223697165837,0.49749371855331,0.17950549357115,0.100401622375558,0.00317792520972053,"violation",1,820,0.1215733643367,0.641612011797809,0.288266991550556,0.491788611165993,0.669519332898917,0.0279073211011078,"violation"
27,160,"reverse",0.079515200404443,0.761288001011107,0.189983551919633,0.474958879799083,0.783845275654323,0.0225572746432161,"violation in reverse orientation",1,1,1,180,0.675660922391709,0.118817871160874,0.494756455862158,0.249443825784929,0.119313999826188,0.000496128665313164,"violation",1,160,0.079515200404443,0.761288001011107,0.189983551919633,0.474958879799083,0.783845275654323,0.0225572746432161,"violation"
28,230,"forward",0.74492538697532,0.0935726447665421,0.474869398023903,0.222377597435555,0.0938330273021296,0.000260382535587481,"violation in forward orientation",1,1,1,230,0.74492538697532,0.0935726447665421,0.474869398023903,0.222377597435555,0.0938330273021296,0.000260382535587481,"violation",1,820,0.0960766530881649,0.636824853284844,0.254323120953009,0.492658777481077,0.738826579771278,0.102001726486434,"violation"
29,170,"reverse",0.0925546506561992,0.73870751044869,0.211764705882353,0.481347589305383,0.748400374981879,0.00969286453318929,"violation in reverse orientation",1,1,1,200,0.721276415184159,0.100337912250668,0.484122918275927,0.22798026230356,0.102532997828941,0.00219508557827336,"violation",1,170,0.0925546506561992,0.73870751044869,0.211764705882353,0.481347589305383,0.748400374981879,0.00969286453318929,"violation"
30,160,"forward",0.720240586751941,0.059527310361458,0.487179381747627,0.15612494995996,0.102914057813735,0.0433867474522767,"violation in forward orientation",1,1,1,160,0.720240586751941,0.059527310361458,0.487179381747627,0.15612494995996,0.102914057813735,0.0433867474522767,"violation",1,160,0.0889840203618664,0.749657445752236,0.20453835214942,0.478890318862263,0.758106354427109,0.00844890867487336,"violation"
31,70,"forward",0.826440685532036,0.0534488391899586,0.469693777793531,0.118666055184544,0.0638452248221617,0.010396385632203,"violation in forward orientation",1,1,1,70,0.826440685532036,0.0534488391899586,0.469693777793531,0.118666055184544,0.0638452248221617,0.010396385632203,"violation",1,280,0.133240516801551,0.620383411860039,0.279941684889506,0.498722858706034,0.637804724363852,0.0174213125038128,"violation"
32,60,"forward",0.804851254930947,0.0622317713624084,0.481894409826699,0.12801909579781,0.0717875324868999,0.00955576112449142,"violation in forward orientation",1,1,1,60,0.804851254930947,0.0622317713624084,0.481894409826699,0.12801909579781,0.0717875324868999,0.00955576112449142,"violation",1,730,0.12351639962378,0.663212482016597,0.288716301316534,0.487842435702024,0.664237615385994,0.00102513336939758,"violation"
33,150,"forward",0.768048176203353,0.0846963054729335,0.47370877129308,0.195959179422654,0.0853266285225956,0.000630323049662082,"violation in forward orientation",1,1,1,150,0.768048176203353,0.0846963054729335,0.47370877129308,0.195959179422654,0.0853266285225956,0.000630323049662082,"violation",1,160,0.079515200404443,0.75548267551641,0.189983551919633,0.476969600708473,0.783845275654323,0.0283626001379139,"violation"
34,140,"forward",0.688102687142222,0.111867868253534,0.494871659305394,0.232115382989599,0.114736930362582,0.00286906210904819,"violation in forward orientation",1,1,1,140,0.688102687142222,0.111867868253534,0.494871659305394,0.232115382989599,0.114736930362582,0.00286906210904819,"violation",1,210,0.0822154039059753,0.771530237360186,0.202534955410826,0.466107536763422,0.776505361542967,0.00497512418278057,"violation"
35,50,"forward",0.826859192020479,0.0275269587093166,0.48,0.0707106781186548,0.0636912648890665,0.0361643061797499,"violation in forward orientation",1,1,1,50,0.826859192020479,0.0275269587093166,0.48,0.0707106781186548,0.0636912648890665,0.0361643061797499,"violation at burn-in",1,400,0.100497433470237,0.725830191306984,0.246525860712421,0.474545835510122,0.726809652791083,0.000979461484099109,"violation"
36,290,"forward",0.757265157620995,0.0887137964501809,0.466741684701305,0.221469527218364,0.0892934793728147,0.000579682922633815,"violation in forward orientation",1,1,1,290,0.757265157620995,0.0887137964501809,0.466741684701305,0.221469527218364,0.0892934793728147,0.000579682922633815,"violation",1,820,0.0815965842987087,0.644003633755279,0.232447469966598,0.491334789196084,0.778187487636494,0.134183853881214,"violation"
37,50,"forward",0.826859192020479,0.0275269587093166,0.48,0.0707106781186548,0.0636912648890665,0.0361643061797499,"violation in forward orientation",1,1,1,50,0.826859192020479,0.0275269587093166,0.48,0.0707106781186548,0.0636912648890665,0.0361643061797499,"violation at burn-in",1,350,0.114431374831917,0.688804461179355,0.262235289270486,0.486763572497166,0.688933273188816,0.00012881200946091,"violation"
38,70,"reverse",0.0534488391899587,0.813795356759835,0.118666055184544,0.474664220738176,0.854700991677706,0.0409056349178706,"violation in reverse orientation",1,1,1,220,0.732109087000877,0.0977166433764952,0.479733913851391,0.227090836305396,0.0985478805746132,0.000831237198117951,"violation",1,70,0.0534488391899587,0.813795356759835,0.118666055184544,0.474664220738176,0.854700991677706,0.0409056349178706,"violation"
39,90,"forward",0.700619622653076,0.104606694841303,0.496903994999953,0.206080411011016,0.11013220712167,0.00552551228036727,"violation in forward orientation",1,1,1,90,0.700619622653076,0.104606694841303,0.496903994999953,0.206080411011016,0.11013220712167,0.00552551228036727,"violation",1,280,0.110554876727001,0.696924489716726,0.251500598449404,0.486763572497166,0.699470687545463,0.00254619782873677,"violation"
40,220,"reverse",0.0977166433764952,0.7278130087087,0.227090836305396,0.481045692920835,0.73436862397166,0.00655561526296,"violation in reverse orientation",1,1,1,1390,0.621637153183602,0.115342452298339,0.493464874558737,0.288130170020499,0.139188233852441,0.0238457815541023,"violation",1,220,0.0977166433764952,0.7278130087087,0.227090836305396,0.481045692920835,0.73436862397166,0.00655561526296,"violation"
41,70,"forward",0.76168005686057,0.083553645447262,0.489897948556636,0.166598625567009,0.0876693287077316,0.00411568326046959,"violation in forward orientation",1,1,1,70,0.76168005686057,0.083553645447262,0.489897948556636,0.166598625567009,0.0876693287077316,0.00411568326046959,"violation",1,380,0.11869799971155,0.67731729609635,0.2696565991042,0.48879409528965,0.677335384309657,1.80882133060667e-05,"violation"
42,90,"forward",0.814207428738857,0.0652551788198453,0.46732757432918,0.147405546238018,0.0683455884949429,0.00309040967509762,"violation in forward orientation",1,1,1,90,0.814207428738857,0.0652551788198453,0.46732757432918,0.147405546238018,0.0683455884949429,0.00309040967509762,"violation",1,100,0.0943521513629653,0.707316518042841,0.195959179422654,0.495075751779463,0.743514261474034,0.0361977434311934,"violation"
43,210,"forward",0.69520100521645,0.10873446536619,0.489897948556636,0.240982493883428,0.112125605076178,0.0033911397099875,"violation in forward orientation",1,1,1,210,0.69520100521645,0.10873446536619,0.489897948556636,0.240982493883428,0.112125605076178,0.0033911397099875,"violation",1,490,0.120032145731923,0.670280305272169,0.276897489891786,0.488608253944378,0.673708799425966,0.00342849415379687,"violation"
44,80,"forward",0.774681766062824,0.0732709191287606,0.484122918275927,0.15612494995996,0.0828862671921329,0.00961534806337234,"violation in forward orientation",1,1,1,80,0.774681766062824,0.0732709191287606,0.484122918275927,0.15612494995996,0.0828862671921329,0.00961534806337234,"violation",1,350,0.107260993843302,0.708018543912941,0.252723935857097,0.481629885844697,0.708424389533294,0.000405845620352285,"violation"
45,240,"reverse",0.106670086249735,0.709366335014961,0.242061459137964,0.485179663171856,0.710030642907185,0.000664307892224381,"violation in reverse orientation",1,1,1,360,0.692815734736115,0.11133992556825,0.48552345431643,0.258855505716039,0.113003097047526,0.00166317147927643,"violation",1,240,0.106670086249735,0.709366335014961,0.242061459137964,0.485179663171856,0.710030642907185,0.000664307892224381,"violation"
46,280,"reverse",0.119716448276641,0.672807287117073,0.263391343821318,0.491963475498425,0.67456695408195,0.00175966696487673,"violation in reverse orientation",1,1,1,340,0.64450876710369,0.128630425144911,0.495402740638893,0.279318870006787,0.13077423730483,0.0021438121599191,"violation",1,280,0.119716448276641,0.672807287117073,0.263391343821318,0.491963475498425,0.67456695408195,0.00175966696487673,"violation"
47,50,"forward",0.861594493296846,0.0275269587093166,0.466476151587624,0.0707106781186548,0.0509128616665951,0.0233859029572785,"violation in forward orientation",1,1,1,50,0.861594493296846,0.0275269587093166,0.466476151587624,0.0707106781186548,0.0509128616665951,0.0233859029572785,"violation at burn-in",1,280,0.105924175370542,0.662402744362131,0.245261210191277,0.493787940934411,0.712058238895745,0.0496554945336138,"violation"
48,110,"forward",0.721123744751963,0.100621191018396,0.491666083017817,0.208298895225265,0.102589162142221,0.00196797112382495,"violation in forward orientation",1,1,1,110,0.721123744751963,0.100621191018396,0.491666083017817,0.208298895225265,0.102589162142221,0.00196797112382495,"violation",1,300,0.11194792501412,0.693397214688188,0.255147016443461,0.486986196473325,0.695683989700422,0.0022867750122344,"violation"
49,60,"forward",0.774366575369875,0.0622317713624084,0.489897948556636,0.12801909579781,0.0830022193681173,0.0207704480057088,"violation in forward orientation",1,1,1,60,0.774366575369875,0.0622317713624084,0.489897948556636,0.12801909579781,0.0830022193681173,0.0207704480057088,"violation",1,70,0.0534488391899587,0.826440685532036,0.118666055184544,0.469693777793531,0.854700991677706,0.0282603061456699,"violation"
50,50,"forward",0.734021127930363,0.0745005976726397,0.498397431775084,0.14,0.0978444800259771,0.0233438823533374,"violation in forward orientation",1,1,1,50,0.734021127930363,0.0745005976726397,0.498397431775084,0.14,0.0978444800259771,0.0233438823533374,"violation at burn-in",1,100,0.0773148667427289,0.773135037261782,0.17058722109232,0.48,0.789826402663508,0.0166913654017254,"violation"
