"trial","stopped_at_n","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps"
1,80,0.642042346118264,0.338978878076396,0.499843725578305,0.409076704298839,0.354386015216517,0.0154071371401215,"violation",1,0.01
2,80,0.786130300599852,0.174864243211402,0.480722113075735,0.282566363886433,0.211731759836764,0.0368675166253612,"violation",1,0.01
3,50,0.524410079701748,0.454790769027509,0.47370877129308,0.448998886412873,0.470847821025727,0.0160570519982182,"violation at burn-in",1,0.01
4,70,0.679232364913215,0.277251743648749,0.499795876701026,0.363935405795914,0.317566043291448,0.0403142996426989,"violation",1,0.01
5,50,0.590712364249548,0.185611725055255,0.489897948556636,0.271293199325011,0.405205255231987,0.219593530176733,"violation at burn-in",1,0.01
6,50,0.694644991687999,0.185611725055255,0.5,0.271293199325011,0.302306774715435,0.11669504966018,"violation at burn-in",1,0.01
7,60,0.694529912104096,0.25432432379694,0.499722145018832,0.339934634239519,0.302420709238346,0.0480963854414062,"violation",1,0.01
8,50,0.844410079701748,0.152451248673278,0.47370877129308,0.237486841740758,0.154031874225993,0.00158062555271518,"violation at burn-in",1,0.01
9,50,0.772137383051339,0.152451248673278,0.493558507170123,0.237486841740758,0.225585445529334,0.073134196856056,"violation at burn-in",1,0.01
10,50,0.753238465893974,0.152451248673278,0.496386945839634,0.237486841740758,0.244296315319024,0.0918450666457453,"violation at burn-in",1,0.01
11,90,0.657042967008405,0.261362863693741,0.499876527964533,0.362433476228891,0.339534652998099,0.0781717893043583,"violation",1,0.01
12,50,0.674489213358372,0.216786995012799,0.499599839871872,0.3,0.322261999699767,0.105475004686968,"violation at burn-in",1,0.01
13,50,0.694644991687999,0.275078575707952,0.5,0.346987031457949,0.302306774715435,0.0272281990074827,"violation at burn-in",1,0.01
14,50,0.654021127930363,0.216786995012799,0.498397431775085,0.3,0.342526424274931,0.125739429262132,"violation at burn-in",1,0.01
15,100,0.754629046470215,0.236241940338561,0.485386443980464,0.346987031457949,0.242919571250701,0.00667763091214013,"violation",1,0.01
16,90,0.645967901805191,0.289392299544533,0.5,0.382325567424117,0.350499519461302,0.0611072199167696,"violation",1,0.01
17,50,0.633238465893974,0.275078575707952,0.496386945839634,0.346987031457949,0.363102295368924,0.0880237196609716,"violation at burn-in",1,0.01
18,60,0.774366575369876,0.181705607971508,0.489897948556636,0.276385399196283,0.223378434044973,0.0416728260734642,"violation",1,0.01
19,50,0.612137383051339,0.246504271019468,0.493558507170123,0.324961536185438,0.383993418929201,0.137489147909733,"violation at burn-in",1,0.01
20,50,0.590712364249548,0.329560327676681,0.489897948556636,0.384187454245971,0.405205255231987,0.0756449275553062,"violation at burn-in",1,0.01
21,50,0.753238465893974,0.185611725055255,0.496386945839634,0.271293199325011,0.244296315319024,0.0586845902637688,"violation at burn-in",1,0.01
22,50,0.590712364249548,0.329560327676681,0.489897948556636,0.384187454245971,0.405205255231987,0.0756449275553062,"violation at burn-in",1,0.01
23,90,0.804286524269364,0.122426786343621,0.471404520791032,0.229061423645426,0.193756193611251,0.0713294072676299,"violation",1,0.01
24,50,0.753238465893974,0.152451248673278,0.496386945839634,0.237486841740758,0.244296315319024,0.0918450666457453,"violation at burn-in",1,0.01
25,50,0.734021127930363,0.246504271019468,0.498397431775084,0.324961536185438,0.263322437574998,0.0168181665555299,"violation at burn-in",1,0.01
26,50,0.826859192020479,0.116284945699819,0.48,0.195959179422654,0.171408127656984,0.0551231819571645,"violation at burn-in",1,0.01
27,50,0.674489213358372,0.246504271019468,0.499599839871872,0.324961536185438,0.322261999699767,0.0757577286802988,"violation at burn-in",1,0.01
28,50,0.674489213358372,0.246504271019468,0.499599839871872,0.324961536185438,0.322261999699767,0.0757577286802988,"violation at burn-in",1,0.01
29,50,0.80895608070809,0.185611725055255,0.485386443980464,0.271293199325011,0.189133100035408,0.00352137498015315,"violation at burn-in",1,0.01
30,90,0.623601442490623,0.303158498150334,0.499505928733089,0.391420332306856,0.372643428787248,0.0694849306369146,"violation",1,0.01
31,50,0.674489213358372,0.246504271019468,0.499599839871872,0.324961536185438,0.322261999699767,0.0757577286802988,"violation at burn-in",1,0.01
32,50,0.772137383051339,0.185611725055255,0.493558507170123,0.271293199325011,0.225585445529334,0.0399737204740795,"violation at burn-in",1,0.01
33,70,0.621549582751732,0.367154334451918,0.498159879261791,0.419912527334259,0.374674872180614,0.00752053772869599,"violation",1,0.01
34,50,0.674489213358372,0.246504271019468,0.499599839871872,0.324961536185438,0.322261999699767,0.0757577286802988,"violation at burn-in",1,0.01
35,50,0.654021127930363,0.185611725055255,0.498397431775085,0.271293199325011,0.342526424274931,0.156914699219677,"violation at burn-in",1,0.01
36,60,0.758806370529702,0.206777284463185,0.493006648591635,0.3,0.23878381226009,0.0320065277969046,"violation",1,0.01
37,80,0.715878168740764,0.276559731956136,0.496078370824611,0.368908864084343,0.281284871304378,0.00472513934824165,"violation",1,0.01
38,80,0.654590663251262,0.308177297821902,0.5,0.3903123748999,0.341962555925161,0.0337852581032594,"violation",1,0.01
39,50,0.861594493296846,0.116284945699819,0.466476151587624,0.195959179422654,0.13701844840309,0.0207335027032704,"violation at burn-in",1,0.01
40,50,0.694644991687999,0.185611725055255,0.5,0.271293199325011,0.302306774715435,0.11669504966018,"violation at burn-in",1,0.01
41,50,0.734021127930363,0.246504271019468,0.498397431775084,0.324961536185438,0.263322437574998,0.0168181665555299,"violation at burn-in",1,0.01
42,50,0.734021127930363,0.185611725055255,0.498397431775084,0.271293199325011,0.263322437574998,0.0777107125197433,"violation at burn-in",1,0.01
43,70,0.650660936341786,0.314054244758118,0.499795876701026,0.388875931109034,0.345853181398567,0.0317989366404492,"violation",1,0.01
44,60,0.727070094348715,0.206777284463185,0.49749371855331,0.3,0.270204307216893,0.0634270227537082,"violation",1,0.01
45,50,0.80895608070809,0.116284945699819,0.485386443980464,0.195959179422654,0.189133100035408,0.0728481543355885,"violation at burn-in",1,0.01
46,90,0.763761939446244,0.232572423955049,0.484831649539365,0.339934634239519,0.233877552078135,0.00130512812308606,"violation",1,0.01
47,50,0.546859192020479,0.329560327676681,0.48,0.384187454245971,0.448622081106751,0.11906175343007,"violation at burn-in",1,0.01
48,50,0.633238465893974,0.246504271019468,0.496386945839634,0.324961536185438,0.363102295368924,0.116598024349456,"violation at burn-in",1,0.01
49,50,0.894790769027509,0.0745005976726398,0.448998886412873,0.14,0.104152481134855,0.0296518834622153,"violation at burn-in",1,0.01
50,50,0.694644991687999,0.185611725055255,0.5,0.271293199325011,0.302306774715435,0.11669504966018,"violation at burn-in",1,0.01
51,50,0.633238465893974,0.329560327676681,0.496386945839634,0.384187454245971,0.363102295368924,0.0335419676922426,"violation at burn-in",1,0.01
52,50,0.714489213358372,0.216786995012799,0.499599839871872,0.3,0.2826600063498,0.0658730113370008,"violation at burn-in",1,0.01
53,50,0.694644991687999,0.246504271019468,0.5,0.324961536185438,0.302306774715435,0.0558025036959667,"violation at burn-in",1,0.01
54,60,0.710899562289484,0.25432432379694,0.498887651569859,0.339934634239519,0.286213939793771,0.031889615996831,"violation",1,0.01
55,60,0.727070094348715,0.230926430345563,0.49749371855331,0.321022671404304,0.270204307216893,0.0392778768713301,"violation",1,0.01
56,50,0.714489213358372,0.275078575707952,0.499599839871872,0.346987031457949,0.2826600063498,0.00758143064184807,"violation at burn-in",1,0.01
57,50,0.753238465893974,0.216786995012799,0.496386945839634,0.3,0.244296315319024,0.0275093203062242,"violation at burn-in",1,0.01
58,50,0.753238465893974,0.185611725055255,0.496386945839634,0.271293199325011,0.244296315319024,0.0586845902637688,"violation at burn-in",1,0.01
59,60,0.834450982045785,0.12757189874012,0.471404520791032,0.217944947177034,0.163891877204571,0.0363199784644513,"violation",1,0.01
60,50,0.590712364249548,0.302716065288689,0.489897948556636,0.366606055596467,0.405205255231987,0.102489189943298,"violation at burn-in",1,0.01
61,50,0.790712364249548,0.185611725055255,0.489897948556636,0.271293199325011,0.207195288482154,0.021583563426899,"violation at burn-in",1,0.01
62,50,0.753238465893974,0.216786995012799,0.496386945839634,0.3,0.244296315319024,0.0275093203062242,"violation at burn-in",1,0.01
63,50,0.674489213358372,0.152451248673278,0.499599839871872,0.237486841740758,0.322261999699767,0.169810751026489,"violation at burn-in",1,0.01
64,50,0.844410079701748,0.152451248673278,0.47370877129308,0.237486841740758,0.154031874225993,0.00158062555271518,"violation at burn-in",1,0.01
65,50,0.694644991687999,0.246504271019468,0.5,0.324961536185438,0.302306774715435,0.0558025036959667,"violation at burn-in",1,0.01
66,50,0.714489213358372,0.216786995012799,0.499599839871872,0.3,0.2826600063498,0.0658730113370008,"violation at burn-in",1,0.01
67,50,0.612137383051339,0.116284945699819,0.493558507170123,0.195959179422654,0.383993418929201,0.267708473229382,"violation at burn-in",1,0.01
68,50,0.80895608070809,0.185611725055255,0.485386443980464,0.271293199325011,0.189133100035408,0.00352137498015315,"violation at burn-in",1,0.01
69,50,0.694644991687999,0.0745005976726398,0.5,0.14,0.302306774715435,0.227806177042795,"violation at burn-in",1,0.01
70,70,0.59189294941248,0.332011213630856,0.494871659305393,0.4,0.4040364170877,0.0720252034568438,"violation",1,0.01
71,50,0.612137383051339,0.302716065288689,0.493558507170123,0.366606055596467,0.383993418929201,0.0812773536405121,"violation at burn-in",1,0.01
72,80,0.739705087131815,0.227252112493843,0.49228421668788,0.330718913883074,0.257695034712563,0.0304429222187206,"violation",1,0.01
73,60,0.727070094348715,0.230926430345563,0.49749371855331,0.321022671404304,0.270204307216893,0.0392778768713301,"violation",1,0.01
74,50,0.714489213358372,0.246504271019468,0.499599839871872,0.324961536185438,0.2826600063498,0.0361557353303321,"violation at burn-in",1,0.01
75,50,0.674489213358372,0.246504271019468,0.499599839871872,0.324961536185438,0.322261999699767,0.0757577286802988,"violation at burn-in",1,0.01
76,50,0.633238465893974,0.152451248673278,0.496386945839634,0.237486841740758,0.363102295368924,0.210651046695646,"violation at burn-in",1,0.01
77,50,0.674489213358372,0.246504271019468,0.499599839871872,0.324961536185438,0.322261999699767,0.0757577286802988,"violation at burn-in",1,0.01
78,80,0.808698556974645,0.174864243211402,0.472857007984443,0.282566363886433,0.189388061364891,0.014523818153489,"violation",1,0.01
79,50,0.734021127930363,0.216786995012799,0.498397431775084,0.3,0.263322437574998,0.0465354425621986,"violation at burn-in",1,0.01
80,50,0.714489213358372,0.116284945699819,0.499599839871872,0.195959179422654,0.2826600063498,0.166375060649981,"violation at burn-in",1,0.01
81,50,0.633238465893974,0.302716065288689,0.496386945839634,0.366606055596467,0.363102295368924,0.0603862300802347,"violation at burn-in",1,0.01
82,70,0.679232364913215,0.277251743648749,0.499795876701026,0.363935405795914,0.317566043291448,0.0403142996426989,"violation",1,0.01
83,50,0.714489213358372,0.275078575707952,0.499599839871872,0.346987031457949,0.2826600063498,0.00758143064184807,"violation at burn-in",1,0.01
84,50,0.633238465893974,0.302716065288689,0.496386945839634,0.366606055596467,0.363102295368924,0.0603862300802347,"violation at burn-in",1,0.01
85,80,0.751467297585606,0.243974143961777,0.489897948556636,0.344374432848898,0.246049860208265,0.00207571624648828,"violation",1,0.01
86,50,0.612137383051339,0.381261936620275,0.493558507170123,0.41424630354416,0.383993418929201,0.00273148230892667,"violation at burn-in",1,0.01
87,50,0.590712364249548,0.275078575707952,0.489897948556636,0.346987031457949,0.405205255231987,0.130126679524035,"violation at burn-in",1,0.01
88,50,0.654021127930363,0.185611725055255,0.498397431775085,0.271293199325011,0.342526424274931,0.156914699219677,"violation at burn-in",1,0.01
89,50,0.56895608070809,0.329560327676681,0.485386443980464,0.384187454245971,0.426745060135208,0.097184732458527,"violation at burn-in",1,0.01
90,90,0.71133125754252,0.171968943105426,0.495535624910617,0.28458329944146,0.285786539980272,0.113817596874846,"violation",1,0.01
91,90,0.843429898606732,0.139488250402838,0.453246178986025,0.249443825784929,0.155002302356158,0.0155140519533202,"violation",1,0.01
92,60,0.819765062450468,0.155449781144742,0.476969600708473,0.249443825784929,0.178431669458368,0.0229818883136263,"violation",1,0.01
