"trial","stopped_at_n","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps"
1,160,0.732064644419067,0.0595273103614581,0.484122918275927,0.15612494995996,0.101987101438084,0.0424597910766254,"violation",1,0.965862068965517
2,160,0.784304934308671,0.0236788613868319,0.465991885658967,0.0788095013307404,0.0821015787238417,0.0584227173370098,"violation",1,0.965862068965517
3,50,0.753238465893974,0.0745005976726398,0.496386945839634,0.14,0.0939271823837226,0.0194265847110828,"violation at burn-in",1,0.965862068965517
4,160,0.772837907380941,0.0236788613868319,0.470662764089109,0.0788095013307404,0.0864665587979966,0.0627876974111647,"violation",1,0.965862068965517
5,10050,0.365577204743751,0.366181162096984,0.476386788926858,0.476576666109694,0.241492343877369,-0.124688818219615,"max_iter reached without violation",0,0.965862068965517
6,10050,0.372520903841031,0.354902288627405,0.478520859849967,0.472895462091131,0.238849190739981,-0.116053097887425,"max_iter reached without violation",0,0.965862068965517
7,10050,0.377348980791961,0.358629519992912,0.479941912114357,0.474143709356508,0.237011359554956,-0.121618160437956,"max_iter reached without violation",0,0.965862068965517
8,10050,0.371414202141872,0.361550050513617,0.478187888638114,0.475099830055327,0.239270462172873,-0.122279588340744,"max_iter reached without violation",0,0.965862068965517
9,50,0.826859192020479,0.0275269587093167,0.48,0.0707106781186548,0.0659030916920105,0.0383761329826939,"violation at burn-in",1,0.965862068965517
10,10050,0.362053518407794,0.372822714223842,0.475262713314606,0.478611195562649,0.242833652373544,-0.129989061850298,"max_iter reached without violation",0,0.965862068965517
11,160,0.790006592849108,0.0595273103614581,0.463512405443479,0.15612494995996,0.0799312144196943,0.0204039040582363,"violation",1,0.965862068965517
12,480,0.741034254667257,0.0485974807798067,0.466796856839842,0.162326296048696,0.0985727752789979,0.0499752944991913,"violation",1,0.965862068965517
13,10050,0.366483129484264,0.357118620854883,0.476671295934849,0.47364150874367,0.241147499179093,-0.115971121675791,"max_iter reached without violation",0,0.965862068965517
14,10050,0.359737391250178,0.360240935197789,0.474508668282614,0.47467363162283,0.24371529754242,-0.116525637655369,"max_iter reached without violation",0,0.965862068965517
15,10050,0.373526909566423,0.362657652062562,0.478821188907982,0.475457412389651,0.238466249723665,-0.124191402338897,"max_iter reached without violation",0,0.965862068965517
16,10050,0.376343287517572,0.348654026488907,0.479650128671417,0.470731840469751,0.237394181635264,-0.111259844853643,"max_iter reached without violation",0,0.965862068965517
17,820,0.716297096671452,0.0500093017401076,0.471260602662321,0.175219756640603,0.107989095867013,0.0579797941269057,"violation",1,0.965862068965517
18,10050,0.363966504377027,0.368194136093994,0.4758764176674,0.477203650111886,0.24210546487643,-0.126088671217564,"max_iter reached without violation",0,0.965862068965517
19,280,0.787694092992099,0.0620871231403044,0.453430799346403,0.176379403212368,0.0808114788387932,0.0187243556984889,"violation",1,0.965862068965517
20,280,0.727592798380722,0.0722679624007254,0.478078103942638,0.194273896699416,0.103689331578039,0.0314213691773135,"violation",1,0.965862068965517
21,10050,0.368194136093994,0.369603019609442,0.477203650111886,0.477637115837312,0.240496196116382,-0.12910682349306,"max_iter reached without violation",0,0.965862068965517
22,10050,0.375639253437758,0.346940212671985,0.479444545904125,0.470122708455905,0.237662175662773,-0.109278037009212,"max_iter reached without violation",0,0.965862068965517
23,280,0.690056992291969,0.028192951723378,0.488385511827762,0.102953823609997,0.117977520371643,0.0897845686482653,"violation",1,0.965862068965517
24,280,0.727592798380722,0.0620871231403044,0.478078103942638,0.176379403212368,0.103689331578039,0.0416022084377346,"violation",1,0.965862068965517
25,280,0.761196057930465,0.0620871231403044,0.465643618652545,0.176379403212368,0.0908980859233716,0.0288109627830673,"violation",1,0.965862068965517
26,10050,0.382074645071328,0.358629519992912,0.481283370099774,0.474143709356508,0.23521251225595,-0.123417007736962,"max_iter reached without violation",0,0.965862068965517
27,10050,0.366281818728603,0.362859023209654,0.476608232245709,0.475522127799933,0.241224129106162,-0.121634894103492,"max_iter reached without violation",0,0.965862068965517
28,10050,0.368596690877574,0.357622275163771,0.477327952469326,0.473809490493125,0.240342961662486,-0.117279313501285,"max_iter reached without violation",0,0.965862068965517
29,1390,0.732582042522631,0.0444599124025495,0.460726636622963,0.171180697265789,0.101790151310845,0.0573302389082956,"violation",1,0.965862068965517
30,820,0.738541589795246,0.0356144678975509,0.462392968788206,0.142484748758569,0.0995216203952122,0.0639071524976613,"violation",1,0.965862068965517
31,110,0.729746374608727,0.100621191018396,0.489897948556636,0.208298895225265,0.102869562218234,0.00224837119983769,"violation",1,0.965862068965517
32,10050,0.377047281411902,0.365375878931141,0.479854612355437,0.476323313426283,0.237126202904557,-0.128249676026584,"max_iter reached without violation",0,0.965862068965517
