"trial","stopped_at_n","selected_direction","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps","fwd_violation","fwd_stopped_at_n","fwd_T1_","fwd_T2_","fwd_s1","fwd_s2","fwd_beta_allowed","fwd_margin","fwd_reason","rev_violation","rev_stopped_at_n","rev_T1_","rev_T2_","rev_s1","rev_s2","rev_beta_allowed","rev_margin","rev_reason"
1,50,"forward",0.654021127930363,0.275078575707952,0.498397431775085,0.346987031457949,0.309183518866344,0.0341049431583919,"violation in forward orientation",1,0.112413793103448,1,50,0.654021127930363,0.275078575707952,0.498397431775085,0.346987031457949,0.309183518866344,0.0341049431583919,"violation at burn-in",1,90,0.356808336031459,0.589508511541965,0.422952584681651,0.496903994999953,0.600730110551586,0.0112215990096214,"violation"
2,50,"forward",0.56895608070809,0.302716065288689,0.485386443980464,0.366606055596467,0.385203972600749,0.08248790731206,"violation in forward orientation",1,0.112413793103448,1,50,0.56895608070809,0.302716065288689,0.485386443980464,0.366606055596467,0.385203972600749,0.08248790731206,"violation at burn-in",1,50,0.302716065288689,0.590712364249548,0.366606055596467,0.489897948556636,0.66125805190234,0.0705456876527916,"violation at burn-in"
3,50,"forward",0.546859192020479,0.246504271019468,0.48,0.324961536185438,0.404951396002061,0.158447124982593,"violation in forward orientation",1,0.112413793103448,1,50,0.546859192020479,0.246504271019468,0.48,0.324961536185438,0.404951396002061,0.158447124982593,"violation at burn-in",1,50,0.329560327676681,0.501594493296846,0.384187454245971,0.466476151587624,0.631219972207899,0.129625478911053,"violation at burn-in"
4,70,"forward",0.650660936341786,0.295810536031579,0.499795876701026,0.376883027379226,0.312186436016683,0.016375899985104,"violation in forward orientation",1,0.112413793103448,1,70,0.650660936341786,0.295810536031579,0.499795876701026,0.376883027379226,0.312186436016683,0.016375899985104,"violation",1,100,0.236241940338561,0.716895688006175,0.346987031457949,0.493558507170123,0.735640988338074,0.018745300331899,"violation"
5,50,"reverse",0.185611725055255,0.633238465893974,0.271293199325011,0.496386945839634,0.792294973448388,0.159056507554415,"violation in reverse orientation",1,0.112413793103448,1,50,0.56895608070809,0.275078575707952,0.485386443980464,0.346987031457949,0.385203972600749,0.110125396892797,"violation at burn-in",1,50,0.185611725055255,0.633238465893974,0.271293199325011,0.496386945839634,0.792294973448388,0.159056507554415,"violation at burn-in"
6,50,"reverse",0.302716065288689,0.546859192020479,0.366606055596467,0.48,0.66125805190234,0.114398859881861,"violation in reverse orientation",1,0.112413793103448,1,50,0.734021127930363,0.216786995012799,0.498397431775084,0.3,0.237689568091695,0.0209025730788955,"violation at burn-in",1,50,0.302716065288689,0.546859192020479,0.366606055596467,0.48,0.66125805190234,0.114398859881861,"violation at burn-in"
7,50,"forward",0.546859192020479,0.302716065288689,0.48,0.366606055596467,0.404951396002061,0.102235330713372,"violation in forward orientation",1,0.112413793103448,1,50,0.546859192020479,0.302716065288689,0.48,0.366606055596467,0.404951396002061,0.102235330713372,"violation at burn-in",1,50,0.116284945699819,0.826859192020479,0.195959179422654,0.48,0.869869961098972,0.0430107690784927,"violation at burn-in"
8,50,"forward",0.612137383051339,0.302716065288689,0.493558507170123,0.366606055596467,0.34661394879933,0.0438978835106407,"violation in forward orientation",1,0.112413793103448,1,50,0.612137383051339,0.302716065288689,0.493558507170123,0.366606055596467,0.34661394879933,0.0438978835106407,"violation at burn-in",1,70,0.239040057693904,0.679232364913215,0.334724986110285,0.499795876701026,0.732509962761756,0.0532775978485412,"violation"
9,50,"forward",0.56895608070809,0.329560327676681,0.485386443980464,0.384187454245971,0.385203972600749,0.0556436449240679,"violation in forward orientation",1,0.112413793103448,1,50,0.56895608070809,0.329560327676681,0.485386443980464,0.384187454245971,0.385203972600749,0.0556436449240679,"violation at burn-in",1,90,0.275464716989807,0.689834539323384,0.372677996249965,0.498020774022555,0.691751650875242,0.00191711155185836,"violation"
10,50,"forward",0.694644991687999,0.246504271019468,0.5,0.324961536185438,0.272879012419288,0.0263747413998197,"violation in forward orientation",1,0.112413793103448,1,50,0.694644991687999,0.246504271019468,0.5,0.324961536185438,0.272879012419288,0.0263747413998197,"violation at burn-in",1,160,0.317349074358807,0.635437582923543,0.417582327212252,0.499374608885954,0.64488406902791,0.00944648610436705,"violation"
