"trial","stopped_at_n","selected_direction","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps","fwd_violation","fwd_stopped_at_n","fwd_T1_","fwd_T2_","fwd_s1","fwd_s2","fwd_beta_allowed","fwd_margin","fwd_reason","rev_violation","rev_stopped_at_n","rev_T1_","rev_T2_","rev_s1","rev_s2","rev_beta_allowed","rev_margin","rev_reason"
1,110,"forward",0.780482926783159,0.0859405919145953,0.475516248386255,0.187193275290673,0.0925673215514752,0.00662672963687991,"violation in forward orientation",1,0.863448275862069,1,110,0.780482926783159,0.0859405919145953,0.475516248386255,0.187193275290673,0.0925673215514752,0.00662672963687991,"violation",1,230,0.105379715438308,0.74900230310837,0.239090905823783,0.473414177002303,0.750100594920655,0.00109829181228516,"violation"
2,160,"forward",0.726162040908508,0.107204222849119,0.485693769262073,0.230403857389585,0.115474733308328,0.00827051045920937,"violation in forward orientation",1,0.863448275862069,1,160,0.726162040908508,0.107204222849119,0.485693769262073,0.230403857389585,0.115474733308328,0.00827051045920937,"violation",1,440,0.114086980898704,0.724442799258204,0.267023693504082,0.474014854877596,0.72945285093391,0.00501005167570601,"violation"
3,200,"forward",0.768144632915628,0.0933422121316441,0.46837484987988,0.217944947177034,0.0977704468954323,0.00442823476378826,"violation in forward orientation",1,0.863448275862069,1,200,0.768144632915628,0.0933422121316441,0.46837484987988,0.217944947177034,0.0977704468954323,0.00442823476378826,"violation",1,230,0.0935726447665422,0.777303843243391,0.222377597435555,0.461955242964982,0.778098980128145,0.000795136884753855,"violation"
4,280,"forward",0.714010637810815,0.105924175370543,0.482222215691192,0.245261210191277,0.120599045802507,0.0146748704319647,"violation in forward orientation",1,0.863448275862069,1,280,0.714010637810815,0.105924175370543,0.482222215691192,0.245261210191277,0.120599045802507,0.0146748704319647,"violation",0,10050,1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation"
5,330,"reverse",0.124933159682987,0.700427415825838,0.274087516939661,0.48431789149108,0.703733051326221,0.00330563550038332,"violation in reverse orientation",1,0.863448275862069,1,390,0.68625277569902,0.131377586808747,0.48650425541052,0.28581406166164,0.132304686582227,0.000927099773479712,"violation",1,330,0.124933159682987,0.700427415825838,0.274087516939661,0.48431789149108,0.703733051326221,0.00330563550038332,"violation"
6,330,"forward",0.694605037337229,0.128682116954067,0.485832335123178,0.278656095335095,0.128782492616375,0.000100375662308611,"violation in forward orientation",1,0.863448275862069,1,330,0.694605037337229,0.128682116954067,0.485832335123178,0.278656095335095,0.128782492616375,0.000100375662308611,"violation",1,1030,0.145775065345064,0.653005717289083,0.319665262287414,0.488461451395585,0.654310148778477,0.00130443148939396,"violation"
7,50,"forward",0.790712364249548,0.0745005976726398,0.489897948556636,0.14,0.0882535123727317,0.0137529147000919,"violation in forward orientation",1,0.863448275862069,1,50,0.790712364249548,0.0745005976726398,0.489897948556636,0.14,0.0882535123727317,0.0137529147000919,"violation at burn-in",1,70,0.0835536454472621,0.77493133917732,0.166598625567009,0.486763572497166,0.801857269557679,0.0269259303803591,"violation"
8,100,"reverse",0.077314866742729,0.800420391058284,0.17058722109232,0.47021271782035,0.816651432669745,0.0162310416114615,"violation in reverse orientation",1,0.863448275862069,1,480,0.691175327954928,0.102285497677251,0.483580217119031,0.253028530999964,0.130228819637036,0.0279433219597849,"violation",1,100,0.077314866742729,0.800420391058284,0.17058722109232,0.47021271782035,0.816651432669745,0.0162310416114615,"violation"
9,180,"forward",0.734082966371579,0.111190471612539,0.481894409826699,0.239534012636779,0.112134436143503,0.000943964530963626,"violation in forward orientation",1,0.863448275862069,1,180,0.734082966371579,0.111190471612539,0.481894409826699,0.239534012636779,0.112134436143503,0.000943964530963626,"violation",1,1390,0.0958965213794807,0.66264371682741,0.261934730047846,0.484811491284677,0.772588316696671,0.109944599869261,"violation"
10,80,"reverse",0.0962393665961734,0.739705087131815,0.189983551919633,0.49228421668788,0.771775319746762,0.0320702326149469,"violation in reverse orientation",1,0.863448275862069,1,160,0.772837907380941,0.0889840203618664,0.470662764089109,0.20453835214942,0.0957912676362254,0.006807247274359,"violation",1,80,0.0962393665961734,0.739705087131815,0.189983551919633,0.49228421668788,0.771775319746762,0.0320702326149469,"violation"
