"eta","alpha","beta"
0,0.029581749188081,0.993738152158967
0.015015015015015,0.0296156327428336,0.99243563728566
0.03003003003003,0.0296812977289181,0.990653520298101
0.045045045045045,0.0298210053585253,0.987968839210876
0.0600600600600601,0.0309157027424054,0.975835887891896
0.0750750750750751,0.0328797731645768,0.95583207897836
0.0900900900900901,0.035264674090065,0.932661545421497
0.105105105105105,0.0380589115952976,0.906760781174349
0.12012012012012,0.0412567593243373,0.878487816549015
0.135135135135135,0.0448327519675096,0.848320469926248
0.15015015015015,0.0486835564526643,0.817414145392123
0.165165165165165,0.0515389098962377,0.798272442882859
0.18018018018018,0.0542438884082845,0.782015129271389
0.195195195195195,0.0568899976053805,0.767426890023793
0.21021021021021,0.0594630960822171,0.754327197166044
0.225225225225225,0.061959824548901,0.742541940653797
0.24024024024024,0.0643827923431216,0.731887980357927
0.255255255255255,0.0667492784757233,0.722154326799748
0.27027027027027,0.0690759162885652,0.713161865729925
0.285285285285285,0.0713791124002461,0.704763837271608
0.3003003003003,0.0736757839248603,0.696841255660173
0.315315315315315,0.0759750143345281,0.689308868067832
0.33033033033033,0.0782936886330676,0.682079173091908
0.345345345345345,0.0806338861522927,0.675114834084914
0.36036036036036,0.0830121024996813,0.668346143300452
0.375375375375375,0.0854383614186904,0.661730433449686
0.39039039039039,0.0879171534100233,0.655241049972656
0.405405405405405,0.0904582807486141,0.648843447609236
0.42042042042042,0.0930689880374441,0.64251494360015
0.435435435435435,0.0957638196712064,0.636214832460706
0.45045045045045,0.0985532042104339,0.629916748755834
0.465465465465465,0.101444163726236,0.623608476859489
0.48048048048048,0.104457516941979,0.617245808174282
0.495495495495495,0.107604152847814,0.610807969059187
0.510510510510511,0.110897488380648,0.60427294819748
0.525525525525526,0.11436336983972,0.597598666388883
0.540540540540541,0.118021577183364,0.590755175460899
0.555555555555556,0.121904378229163,0.583693990649198
0.570570570570571,0.126033920818416,0.57638849710047
0.585585585585586,0.130459011684155,0.568767952320763
0.600600600600601,0.135236471863808,0.56075287874254
0.615615615615616,0.140440848804783,0.552242559434513
0.630630630630631,0.146147366157353,0.543144811059318
0.645645645645646,0.152501772910623,0.533259829960821
0.660660660660661,0.159658005707347,0.522396991447606
0.675675675675676,0.167883189375369,0.510207543675206
0.690690690690691,0.177539017753881,0.496232953618845
0.705705705705706,0.18900581314493,0.480011074905308
0.720720720720721,0.20246735844674,0.461359022828964
0.735735735735736,0.217605247871271,0.440758842174924
0.750750750750751,0.233782954015288,0.419085108394195
0.765765765765766,0.250341429294322,0.397220800246502
0.780780780780781,0.266612989103479,0.376041954584136
0.795795795795796,0.281895330094375,0.356451096989623
0.810810810810811,0.295569396313441,0.339216545268323
0.825825825825826,0.30734368120018,0.324652091362713
0.840840840840841,0.317463510573558,0.312377951061735
0.855855855855856,0.326270738642366,0.301900282360165
0.870870870870871,0.334097514049095,0.292762450630936
0.885885885885886,0.341159561681335,0.284666773939479
0.900900900900901,0.347639908029452,0.277369634152856
0.915915915915916,0.353633224911304,0.270735729881162
0.930930930930931,0.359254441497851,0.264618903493175
0.945945945945946,0.364525950388852,0.258977187904319
0.960960960960961,0.36951648902245,0.253721985897235
0.975975975975976,0.374265767863872,0.248799934643877
0.990990990990991,0.378811879974349,0.244161424820653
1.00600600600601,0.383149345199924,0.239804721893959
1.02102102102102,0.387334534176328,0.235662865907789
1.03603603603604,0.391356148867068,0.231741538293255
1.05105105105105,0.395256077009011,0.227995503713526
1.06606606606607,0.399036885223601,0.224415739073777
1.08108108108108,0.402682706968193,0.221011069345608
1.0960960960961,0.406271797567878,0.217707705434996
1.11111111111111,0.40974041235462,0.214557630345022
1.12612612612613,0.413146548970718,0.21150738011176
1.14114114114114,0.416424264383167,0.208610715932107
1.15615615615616,0.419681869164399,0.205770408574542
1.17117117117117,0.422853052827904,0.203039469369405
1.18618618618619,0.425951031850087,0.200408222181229
1.2012012012012,0.429018374751134,0.197834402356876
1.21621621621622,0.431974519045017,0.195385012743902
1.23123123123123,0.434937853485242,0.192959960354469
1.24624624624625,0.437820966126778,0.190630389529841
1.26126126126126,0.440682290696986,0.188344394142734
1.27627627627628,0.443436439878159,0.186171155235608
1.29129129129129,0.446207394109865,0.184010401638305
1.30630630630631,0.448956018445707,0.181891535243043
1.32132132132132,0.451615278070045,0.179866139155575
1.33633633633634,0.454255629733481,0.177876976247793
1.35135135135135,0.456872575768245,0.175926895845653
1.36636636636637,0.459431234670446,0.174041837847914
1.38138138138138,0.461959666786543,0.172199933544024
1.3963963963964,0.464486022049806,0.170379530708469
1.41141141141141,0.466990206167455,0.16859413756989
1.42642642642643,0.469472049581053,0.166843321201114
1.44144144144144,0.471918175507676,0.165136125147577
1.45645645645646,0.474317214533779,0.163479583197928
1.47147147147147,0.476699795858606,0.161851137581517
1.48648648648649,0.479061275041148,0.160253374963214
1.5015015015015,0.481403707360377,0.158684362743832
1.51651651651652,0.483729161562375,0.157142200855825
1.53153153153153,0.486035224467334,0.155627976122592
1.54654654654655,0.488319465819599,0.154142745770847
1.56156156156156,0.490586194906823,0.152683135143832
1.57657657657658,0.492830736549489,0.151251688237616
1.59159159159159,0.495057419737544,0.149845078740342
1.60660660660661,0.49726609265188,0.14846296547236
1.62162162162162,0.499452014806506,0.147107758147703
1.63663663663664,0.501619579093683,0.145776275510621
1.65165165165165,0.503768600903253,0.144468109567476
1.66666666666667,0.505924318891421,0.143168147822937
1.68168168168168,0.508070515351204,0.14188566731848
1.6966966966967,0.510200140004881,0.14062443096202
1.71171171171171,0.512313053281036,0.13938414268356
1.72672672672673,0.514411381767356,0.138163072769524
1.74174174174174,0.516492697512979,0.136962315350257
1.75675675675676,0.518556834667297,0.135781522220115
1.77177177177177,0.520605964305077,0.134619066025953
1.78678678678679,0.522646979344846,0.133470863514084
1.8018018018018,0.524724335452327,0.132312726506902
1.81681681681682,0.526756336588135,0.131189711794947
1.83183183183183,0.528761290824753,0.130090742733127
1.84684684684685,0.530750659944186,0.129008948044116
1.86186186186186,0.532726650267333,0.127942780743367
1.87687687687688,0.534686786449283,0.126893236325063
1.89189189189189,0.536692444964361,0.125828443307826
1.90690690690691,0.538701146374553,0.124770555597547
1.92192192192192,0.540684527713869,0.123734254008227
1.93693693693694,0.542604762099737,0.122739084429242
1.95195195195195,0.544508595479305,0.121759474045377
1.96696696696697,0.54643400631877,0.120776318412648
1.98198198198198,0.548400109178786,0.119780392326031
1.996996996997,0.550354507790392,0.118797654578805
2.01201201201201,0.552278167174366,0.117837618978782
2.02702702702703,0.554130526507823,0.116920185363265
2.04204204204204,0.556020943649024,0.11599079539943
2.05705705705706,0.557949519544996,0.115049763127717
2.07207207207207,0.559865950749344,0.114121154959392
2.08708708708709,0.561767776224007,0.113206006915601
2.1021021021021,0.563573669226392,0.112343543517232
2.11711711711712,0.565470448547881,0.111444671923379
2.13213213213213,0.567361955874924,0.1105542817092
2.14714714714715,0.569245727034834,0.109673395048249
2.16216216216216,0.571090489697723,0.108816586369733
2.17717717717718,0.572927716737338,0.107970017652824
2.19219219219219,0.574795608027467,0.107115149963423
2.20720720720721,0.576660290207707,0.106267130240173
2.22222222222222,0.578516873745532,0.10542803713279
2.23723723723724,0.580329430778272,0.104615204264427
2.25225225225225,0.582179868516553,0.103791178868942
2.26726726726727,0.584026841037084,0.102973673617828
2.28228228228228,0.585870291486233,0.102162595111404
2.2972972972973,0.58768860869435,0.10136829948772
2.31231231231231,0.589525380086776,0.10057178597704
2.32732732732733,0.591360864089901,0.0997804659378162
2.34234234234234,0.593192586278681,0.0989953251872131
2.35735735735736,0.595015823518824,0.098219128867171
2.37237237237237,0.596845180315277,0.0974460564806072
2.38738738738739,0.598670576794408,0.0966789801624429
