"eta","alpha","beta"
0,0.000531027675795714,0.999158556773258
0.015015015015015,0.000681051619549344,0.995891414726122
0.03003003003003,0.00091849297686486,0.99121151789731
0.045045045045045,0.00121265108495394,0.985821553988562
0.0600600600600601,0.00157191939656731,0.97987538739062
0.0750750750750751,0.002009126639405,0.97338079264198
0.0900900900900901,0.00254311589696909,0.966185218030239
0.105105105105105,0.00316493842782661,0.95897658008983
0.12012012012012,0.00383450085883319,0.953184425302582
0.135135135135135,0.0047685821409823,0.946445669683218
0.15015015015015,0.00659109471866937,0.935363763175395
0.165165165165165,0.00971233063132737,0.918093266394283
0.18018018018018,0.0135450306172114,0.897839052675757
0.195195195195195,0.0178942457078577,0.87569466416651
0.21021021021021,0.022668156033206,0.852224671219305
0.225225225225225,0.0277660676094998,0.828032398651905
0.24024024024024,0.0329715384308963,0.804326886938033
0.255255255255255,0.037455853341761,0.785350509604466
0.27027027027027,0.0413520504534203,0.770192773956366
0.285285285285285,0.045112444579735,0.756484814242123
0.3003003003003,0.0488796839570526,0.743525358636948
0.315315315315315,0.0527108304786374,0.731022856666115
0.33033033033033,0.0566560295361591,0.718770899232261
0.345345345345345,0.0607336965640362,0.706685728533517
0.36036036036036,0.0649664253938798,0.694682162015062
0.375375375375375,0.0693611086553489,0.682731267342858
0.39039039039039,0.0739245499971112,0.670810498136202
0.405405405405405,0.0786617121520772,0.658899993990479
0.42042042042042,0.0835457439601368,0.647064612449307
0.435435435435435,0.0885800582307807,0.635287942303975
0.45045045045045,0.0937405081257393,0.623619358088412
0.465465465465465,0.0989857544482715,0.612142220887053
0.48048048048048,0.104314554549301,0.600849207199881
0.495495495495495,0.109680584153808,0.589820313859914
0.510510510510511,0.115089069649475,0.57903592520948
0.525525525525526,0.120501581874133,0.5685531248607
0.540540540540541,0.125904061994116,0.558382665585162
0.555555555555556,0.131277039582921,0.548545771156645
0.570570570570571,0.136616449729254,0.539029878873661
0.585585585585586,0.141918146556858,0.529826750458968
0.600600600600601,0.147193978070423,0.520903188643588
0.615615615615616,0.152406086337962,0.512305658565058
0.630630630630631,0.157587499706638,0.503966176428924
0.645645645645646,0.162720337303322,0.495899616766743
0.660660660660661,0.167827190749927,0.488060715467195
0.675675675675676,0.172888150701923,0.480465932539825
0.690690690690691,0.1779239877845,0.473078434265116
0.705705705705706,0.182932946947401,0.465890300189927
0.720720720720721,0.187929587441551,0.45886936837785
0.735735735735736,0.192881287910586,0.45205812242248
0.750750750750751,0.197848320963442,0.44536207723127
0.765765765765766,0.202804295160168,0.438817945935586
0.780780780780781,0.20777288447967,0.432384223425786
0.795795795795796,0.212762169620062,0.426046718535115
0.810810810810811,0.217742769522471,0.419840963913056
0.825825825825826,0.222747079715507,0.413720373811899
0.840840840840841,0.227781925071542,0.407673726985506
0.855855855855856,0.232856975409403,0.401687043321726
0.870870870870871,0.23797502483735,0.395755037888274
0.885885885885886,0.243141692535545,0.389869724558234
0.900900900900901,0.248352827098674,0.384034542653466
0.915915915915916,0.253619039859786,0.378235912020216
0.930930930930931,0.258956319441996,0.372454801600138
0.945945945945946,0.264382150784725,0.366672983735955
0.960960960960961,0.269886956876823,0.360899598564097
0.975975975975976,0.275474784321978,0.35513030435505
0.990990990990991,0.281152255330359,0.349358100852912
1.00600600600601,0.286917806490408,0.343584241014213
1.02102102102102,0.292775350697363,0.33780473661813
1.03603603603604,0.298765651023806,0.331981715709202
1.05105105105105,0.30485068428822,0.326151429754453
1.06606606606607,0.311028410629067,0.32031547118355
1.08108108108108,0.317260688327984,0.314510275920627
