"trial","stopped_at_n","T1_","T2_","s1","s2","beta_allowed","reason"
1,820,0.318155539282418,0.369198965883202,0.44496489043297,0.466757837897285,0.371782051977867,"violation"
2,2270,0.302204923018959,0.388621814763826,0.445116201157784,0.478931620685862,0.388998364470714,"violation"
3,2140,0.273549119652359,0.42146230142507,0.429448150579509,0.487260179280911,0.421567138827914,"violation"
4,2370,0.375713422075657,0.314210066563709,0.475140708124683,0.451122539355362,0.314462141494578,"violation"
5,2090,0.357998027748865,0.330938898629019,0.468508771861958,0.457838737057527,0.331351306197288,"violation"
6,1510,0.361214615283896,0.32768309971108,0.467940196732534,0.454403093997575,0.32823722886495,"violation"
7,2330,0.380659386347323,0.309272220382701,0.476630842835285,0.448703979575418,0.309858829014921,"violation"
8,270,0.461005833542848,0.23490873371509,0.484831649539365,0.375957853050356,0.241308414091553,"violation"
9,1680,0.416210365745772,0.278086229867488,0.485179663171856,0.430228278803342,0.278131221275718,"violation"
10,2080,0.32107968018219,0.368538697549481,0.453494607980575,0.472191753184178,0.368692524235387,"violation"
11,50,0.0273652835935837,0.843326977086129,0.0707106781186548,0.47370877129308,0.868857993839293,"violation at burn-in"
12,1230,0.344153340969486,0.343310080893942,0.460010316954602,0.45966317809089,0.345003372011711,"violation"
13,120,0.3108548258856,0.378301425489435,0.406116431033707,0.442216638714053,0.379584880892663,"violation"
14,940,0.375786033908181,0.313661216710122,0.470135740297539,0.444069619621826,0.314394212826479,"violation"
15,840,0.350816017871767,0.335875890934984,0.459799756770848,0.453430799346403,0.338382477557746,"violation"
16,1040,0.384762218988562,0.304717795475884,0.473838505183024,0.440510563111735,0.306076359925858,"violation"
17,1140,0.338520624401114,0.349454115470853,0.457100036330447,0.461622754927696,0.35067601380523,"violation"
18,70,0.383545095508875,0.295079998788629,0.428809457708675,0.376883027379226,0.307195054469339,"violation"
19,950,0.378519129699476,0.311579836649959,0.471155825215341,0.44313789178509,0.311844932544486,"violation"
20,1870,0.317975351853408,0.371944205138755,0.45142717752843,0.472834031064629,0.37197309332209,"violation"
21,1930,0.277139511914916,0.416859379882815,0.430745741409145,0.485843790848198,0.417364764500344,"violation"
22,890,0.277302555088972,0.415718810667467,0.423893436787831,0.482101038619447,0.417174786438,"violation"
23,410,0.243084008872247,0.454250517020216,0.390556277417049,0.486681633609246,0.458749950695038,"violation"
