mechanism,eps_claim,tau_mmd,mmd_hat,delta_mmd
NonDPGaussian1,0.01,0.007085080312424393,0.285831774445323,0.2787466941328986
NonDPGaussian1,0.04784810126582279,0.03384106718814783,0.285831774445323,0.25199070725717515
NonDPGaussian1,0.08569620253164557,0.06057284552478875,0.285831774445323,0.22525892892053423
NonDPGaussian1,0.12354430379746836,0.0872613391755077,0.285831774445323,0.19857043526981527
NonDPGaussian1,0.16139240506329117,0.11388759556565457,0.285831774445323,0.1719441788796684
NonDPGaussian1,0.19924050632911394,0.1404328392733871,0.285831774445323,0.1453989351719359
NonDPGaussian1,0.23708860759493675,0.16687852454179727,0.285831774445323,0.11895324990352571
NonDPGaussian1,0.27493670886075955,0.1932063864134165,0.285831774445323,0.09262538803190648
NonDPGaussian1,0.3127848101265823,0.21939849019206362,0.285831774445323,0.06643328425325937
NonDPGaussian1,0.3506329113924051,0.24543727895400955,0.285831774445323,0.04039449549131344
NonDPGaussian1,0.3884810126582279,0.2713056188500135,0.285831774445323,0.014526155595309509
NonDPGaussian1,0.4263291139240507,0.29698684196170444,0.285831774445323,-0.011155067516381456
NonDPGaussian1,0.4641772151898735,0.3224647864996632,0.285831774445323,-0.03663301205434022
NonDPGaussian1,0.5020253164556963,0.3477238341560975,0.285831774445323,-0.061892059710774494
NonDPGaussian1,0.5398734177215191,0.37274894445178053,0.285831774445323,-0.08691717000645754
NonDPGaussian1,0.5777215189873418,0.3975256859446177,0.285831774445323,-0.1116939114992947
NonDPGaussian1,0.6155696202531646,0.42204026419539764,0.285831774445323,-0.13620848975007466
NonDPGaussian1,0.6534177215189875,0.4462795464146223,0.285831774445323,-0.16044777196929932
NonDPGaussian1,0.6912658227848102,0.4702310827424519,0.285831774445323,-0.18439930829712892
NonDPGaussian1,0.729113924050633,0.49388312414135993,0.285831774445323,-0.20805134969603695
NonDPGaussian1,0.7669620253164557,0.5172246369078044,0.285831774445323,-0.23139286246248142
NonDPGaussian1,0.8048101265822786,0.5402453138347661,0.285831774445323,-0.25441353938944317
NonDPGaussian1,0.8426582278481014,0.5629355820811245,0.285831774445323,-0.2771038076358015
NonDPGaussian1,0.8805063291139241,0.5852866078263372,0.285831774445323,-0.29945483338101425
NonDPGaussian1,0.918354430379747,0.6072902978095472,0.285831774445323,-0.32145852336422426
NonDPGaussian1,0.9562025316455698,0.6289392978709251,0.285831774445323,-0.3431075234256021
NonDPGaussian1,0.9940506329113925,0.6502269886296689,0.285831774445323,-0.3643952141843459
NonDPGaussian1,1.0318987341772152,0.6711474784475147,0.285831774445323,-0.3853157040021917
NonDPGaussian1,1.0697468354430382,0.6916955938388611,0.285831774445323,-0.40586381939353816
NonDPGaussian1,1.1075949367088609,0.7118668674986589,0.285831774445323,-0.4260350930533359
NonDPGaussian1,1.1454430379746836,0.7316575241270751,0.285831774445323,-0.4458257496817521
NonDPGaussian1,1.1832911392405066,0.7510644642356991,0.285831774445323,-0.4652326897903761
NonDPGaussian1,1.2211392405063293,0.7700852461237544,0.285831774445323,-0.4842534716784314
NonDPGaussian1,1.258987341772152,0.7887180662145619,0.285831774445323,-0.5028862917692389
NonDPGaussian1,1.296835443037975,0.8069617379424453,0.285831774445323,-0.5211299634971223
NonDPGaussian1,1.3346835443037977,0.8248156693785468,0.285831774445323,-0.5389838949332237
NonDPGaussian1,1.3725316455696204,0.8422798397807635,0.285831774445323,-0.5564480653354404
NonDPGaussian1,1.4103797468354433,0.8593547752483692,0.285831774445323,-0.5735230008030463
NonDPGaussian1,1.448227848101266,0.8760415236560354,0.285831774445323,-0.5902097492107123
NonDPGaussian1,1.4860759493670888,0.8923416290350463,0.285831774445323,-0.6065098545897234
NonDPGaussian1,1.5239240506329115,0.9082571055616936,0.285831774445323,-0.6224253311163706
NonDPGaussian1,1.5617721518987344,0.9237904113042837,0.285831774445323,-0.6379586368589607
NonDPGaussian1,1.5996202531645571,0.9389444218710561,0.285831774445323,-0.6531126474257332
NonDPGaussian1,1.6374683544303799,0.9537224040917288,0.285831774445323,-0.6678906296464058
NonDPGaussian1,1.6753164556962028,0.9681279898555079,0.285831774445323,-0.6822962154101848
NonDPGaussian1,1.7131645569620255,0.9821651502183274,0.285831774445323,-0.6963333757730044
NonDPGaussian1,1.7510126582278482,0.9958381698819773,0.285831774445323,-0.7100063954366542
