"eta","alpha","beta"
0,-0.000489649688983018,0.994163210494769
0.015015015015015,-0.000378935171609696,0.990032524601796
0.03003003003003,-0.000223744741606469,0.985218428803096
0.045045045045045,-1.17096385152671e-05,0.979695854912605
0.0600600600600601,0.000272141851072827,0.973702034523365
0.0750750750750751,0.000636628495110925,0.967715996363327
0.0900900900900901,0.0010695210719206,0.962495020919639
0.105105105105105,0.00159949757066502,0.957242391700358
0.12012012012012,0.00225345843783231,0.951643325804156
0.135135135135135,0.00306023873229744,0.945552397160666
0.15015015015015,0.00406510042473784,0.93878655737272
0.165165165165165,0.00534724417162302,0.931029708331429
0.18018018018018,0.00705036134707293,0.921711796061947
0.195195195195195,0.00933828719332708,0.910248325753238
0.21021021021021,0.0122206691489262,0.896751951217202
0.225225225225225,0.0156032678794318,0.881744980281445
0.24024024024024,0.0193997352181348,0.865682764251492
0.255255255255255,0.0235401917166985,0.848949934144587
0.27027027027027,0.0279380456213131,0.832007406023513
0.285285285285285,0.032472404478982,0.815458775910225
0.3003003003003,0.0370851288528194,0.799610958752362
0.315315315315315,0.0419347769919617,0.783910740308809
0.33033033033033,0.0472384792991127,0.767651506772942
0.345345345345345,0.0531603637169059,0.750356931051839
0.36036036036036,0.0597222845411581,0.731989103357001
0.375375375375375,0.0668289349503307,0.712822500001592
0.39039039039039,0.0743231251567144,0.69328080465666
0.405405405405405,0.0820154641784659,0.673859308927527
0.42042042042042,0.0896965872425767,0.655078310990794
0.435435435435435,0.0971549817898102,0.637437257231408
0.45045045045045,0.10425322490176,0.621214044618592
0.465465465465465,0.110967874618002,0.606391948028541
0.48048048048048,0.117361618289153,0.592750246657438
0.495495495495495,0.123502788827923,0.580069898038989
0.510510510510511,0.12945340245217,0.568165322078684
0.525525525525526,0.135281417859591,0.556858733156512
0.540540540540541,0.141023370071753,0.546041656690333
0.555555555555556,0.146707694468762,0.535633171531163
0.570570570570571,0.152389823234706,0.525514053942702
0.585585585585586,0.158065276915474,0.515673558795115
0.600600600600601,0.163748000365582,0.506073368221009
0.615615615615616,0.169470398277114,0.496645044285754
0.630630630630631,0.175223243444822,0.487400175660422
0.645645645645646,0.181025586013005,0.478294156230832
0.660660660660661,0.186862109511948,0.469345422005373
0.675675675675676,0.192719805204558,0.460566212297773
0.690690690690691,0.198603119126611,0.451940515576864
0.705705705705706,0.20449682059113,0.443483636996036
0.720720720720721,0.210403969171123,0.435186511527627
0.735735735735736,0.216281899779625,0.427100757011419
0.750750750750751,0.222121353826694,0.419227966831078
0.765765765765766,0.227936510800499,0.411543510925159
0.780780780780781,0.233702157774018,0.40407164527862
0.795795795795796,0.23942334196435,0.396798827498877
0.810810810810811,0.245083150340458,0.389738482699756
0.825825825825826,0.250694515128519,0.382869499165753
0.840840840840841,0.256247274537978,0.376193418396501
0.855855855855856,0.261772896023902,0.369667560536251
0.870870870870871,0.267239266256554,0.363327255532697
0.885885885885886,0.272686984669235,0.357114957105089
0.900900900900901,0.278067720629989,0.351083909957985
0.915915915915916,0.283441428299591,0.345159054302832
0.930930930930931,0.288776223649293,0.339374912523057
0.945945945945946,0.294099107205815,0.333696455783266
0.960960960960961,0.299411800781435,0.328117548244146
0.975975975975976,0.304697885736238,0.322653254832725
0.990990990990991,0.309949973682655,0.317307795578668
1.00600600600601,0.31518744209193,0.312056976798709
1.02102102102102,0.320403270026156,0.306905016381948
1.03603603603604,0.325592832013974,0.301853475974912
1.05105105105105,0.330754122372493,0.296901427785309
1.06606606606607,0.335882648813142,0.292050453667545
1.08108108108108,0.34099017161185,0.287287842732346
1.0960960960961,0.346045221907472,0.282639086867435
1.11111111111111,0.351037441686119,0.278110209386325
1.12612612612613,0.355953417366719,0.273709350827001
1.14114114114114,0.36084331927516,0.269390922430961
1.15615615615616,0.365658432168298,0.265193967019492
1.17117117117117,0.370370871848662,0.261137756711449
1.18618618618619,0.375076682393032,0.257140759481096
1.2012012012012,0.379669688089262,0.253286800019263
1.21621621621622,0.384227303941427,0.249511320409272
