"trial","stopped_at_n","T1_","T2_"
1,10100,0.305657078121843,0.350137981542545
2,10100,0.326060885567625,0.316717850079018
3,10100,0.323248720044631,0.324454016750298
4,10100,0.353945833246464,0.297203263786601
5,10100,0.322445119593637,0.340312298925533
6,10100,0.322545572687666,0.336801203777972
7,10100,0.288642088496699,0.359955867864528
8,10100,0.317119856732968,0.332987996093654
9,10100,0.325960462728405,0.328671578085112
10,190,0.98954249475163,0
11,10100,0.32455445252125,0.313903407302305
12,10100,0.942398814106848,0.00860920463834631
13,10100,0.330177483845671,0.330779792485052
14,10100,0.320536345503043,0.316315829307093
15,10100,0.371166969935557,0.28017480418769
16,10100,0.337202523538128,0.308976451115041
17,10100,0.3310809353287,0.328269970776791
18,10100,0.987118300436356,0.00144021454632182
19,10100,0.322646024913325,0.317119856732968
20,10100,0.993290941722261,0.01
21,10100,0.362359078547578,0.289951890038816
22,10100,0.304550400435348,0.355348432479921
23,10100,0.344624538773236,0.308775305060543
24,10100,0.338907983379999,0.309680433899912
25,10100,0.334894751762107,0.315913794401275
26,10100,0.301732902639443,0.348033140257191
27,10100,0.349837311883668,0.307668937156237
28,10100,0.985123268318536,0.0016069760430054
29,10100,0.330378256794468,0.315913794401275
30,10100,0.313300221890273,0.328671578085112
31,10100,0.325860039028668,0.320234931349592
32,10100,0.986599650114668,0.00192725926503448
33,10100,0.987204611020048,0.00176903820357615
34,10100,0.32987631803819,0.322947376382426
35,10100,0.325558762764076,0.335597164072783
36,10100,0.338205764419573,0.30696482781589
37,10100,0.32455445252125,0.316918855169748
38,10100,0.985558504040652,0.00208226413569035
39,10100,0.333289083024209,0.31189266443246
40,10100,0.305958880158586,0.354546966493859
41,10100,0.989263760921404,0.00176903820357615
42,10100,0.33790480092515,0.304651012063406
43,10100,0.299015345111543,0.346228704420157
44,10100,0.29770665003545,0.341917031770081
45,10100,0.302638605476119,0.347231201456534
46,10100,0.341616160512702,0.307065417585195
47,10100,0.987721658540823,0.00144021454632182
48,10100,0.310082689963362,0.343020162740253
49,10100,0.318526769071134,0.336801203777972
50,10100,0.3047516227775,0.350137981542545
51,10100,0.994027616726798,0.01
52,10100,0.309579867633832,0.344223464519119
53,10100,0.325860039028668,0.317220356192382
54,10100,0.329976707492213,0.318526769071134
55,10100,0.325056618424811,0.329073171722034
56,10100,0.313702349058695,0.339309233028029
57,10100,0.317421352468052,0.332987996093654
58,10100,0.322344665631002,0.331181314577875
59,10100,0.302638605476119,0.348534325499154
60,10100,0.338205764419573,0.309479300467133
