"trial","stopped_at_n","selected_direction","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps","fwd_violation","fwd_stopped_at_n","fwd_T1_","fwd_T2_","fwd_s1","fwd_s2","fwd_beta_allowed","fwd_margin","fwd_reason","rev_violation","rev_stopped_at_n","rev_T1_","rev_T2_","rev_s1","rev_s2","rev_beta_allowed","rev_margin","rev_reason"
12,1520,"reverse",0.666362534118292,0.184277606257898,0.483435807585042,0.362155366790679,0.184880587628165,0.000602981370267375,"violation in reverse orientation",1,0.590344827586207,0,10050,0.159395307960026,0.721551832982447,0.353574441624609,0.45609865112162,0.712353539636221,-0.00919829334622668,"max_iter reached without violation",1,1520,0.666362534118292,0.184277606257898,0.483435807585042,0.362155366790679,0.184880587628165,0.000602981370267375,"violation"
13,10050,"forward",0.14379674604175,0.747745319305452,0.337883974257288,0.443157047342912,0.740502869625798,-0.00724244967965382,"max_iter reached without violation in either orientation",0,0.590344827586207,0,10050,0.14379674604175,0.747745319305452,0.337883974257288,0.443157047342912,0.740502869625798,-0.00724244967965382,"max_iter reached without violation",0,10050,0.774447788659111,0.132296486307029,0.42780774866183,0.325426380538316,0.124986638605871,-0.00730984770115788,"max_iter reached without violation"
14,10050,"reverse",0.760327144551962,0.138205839397299,0.436210201187806,0.331927845549485,0.132811398254248,-0.00539444114305043,"max_iter reached without violation in either orientation",0,0.590344827586207,0,10050,0.119723085249776,0.795340059352045,0.310832281958036,0.414111721170689,0.783946452774095,-0.0113936065779495,"max_iter reached without violation",0,10050,0.760327144551962,0.138205839397299,0.436210201187806,0.331927845549485,0.132811398254248,-0.00539444114305043,"max_iter reached without violation"
15,7980,"forward",0.134045876576227,0.757869348672126,0.326042791647876,0.438510750659811,0.758099391901914,0.000230043229788368,"violation in forward orientation",1,0.590344827586207,1,7980,0.134045876576227,0.757869348672126,0.326042791647876,0.438510750659811,0.758099391901914,0.000230043229788368,"violation",1,9260,0.767013708568279,0.128885507010282,0.432637961904758,0.321108620184414,0.129106131277462,0.000220624267179642,"violation"
16,4540,"forward",0.152847682392035,0.723710910038762,0.342216965156681,0.458065054856598,0.724169454060078,0.000458544021315177,"violation in forward orientation",1,0.590344827586207,1,4540,0.152847682392035,0.723710910038762,0.342216965156681,0.458065054856598,0.724169454060078,0.000458544021315177,"violation",0,10050,0.682920296638915,0.184504351624238,0.471755134689873,0.376287098365762,0.175705332515463,-0.00879901910877565,"max_iter reached without violation"
17,10050,"reverse",0.718517458998406,0.158157478405314,0.457471719615718,0.352376508485712,0.155979657290333,-0.00217782111498077,"max_iter reached without violation in either orientation",0,0.590344827586207,0,10050,0.172581046416673,0.698821271946046,0.365866195240801,0.46578108166735,0.688558416411587,-0.0102628555344588,"max_iter reached without violation",0,10050,0.718517458998406,0.158157478405314,0.457471719615718,0.352376508485712,0.155979657290333,-0.00217782111498077,"max_iter reached without violation"
18,10050,"reverse",0.743449845299108,0.144107148004138,0.445417147999253,0.33820929187526,0.142163720228035,-0.00194342777610232,"max_iter reached without violation in either orientation",0,0.590344827586207,0,10050,0.152376951798818,0.728987047615161,0.34667706229308,0.452625868108287,0.725018939472519,-0.00396810814264192,"max_iter reached without violation",0,10050,0.743449845299108,0.144107148004138,0.445417147999253,0.33820929187526,0.142163720228035,-0.00194342777610232,"max_iter reached without violation"
19,9660,"reverse",0.726397946986762,0.151563889692266,0.453982128770099,0.345650298214645,0.151612793855995,4.89041637290188e-05,"violation in reverse orientation",1,0.590344827586207,0,10050,0.121700186866853,0.790195118889677,0.313199565726215,0.41763146338243,0.78037855426309,-0.00981656462658731,"max_iter reached without violation",1,9660,0.726397946986762,0.151563889692266,0.453982128770099,0.345650298214645,0.151612793855995,4.89041637290188e-05,"violation"
20,2290,"forward",0.139657710960295,0.747837480516089,0.322494330788415,0.450231046966174,0.74797221615638,0.000134735640290984,"violation in forward orientation",1,0.590344827586207,1,2290,0.139657710960295,0.747837480516089,0.322494330788415,0.450231046966174,0.74797221615638,0.000134735640290984,"violation",0,10050,0.733875569842496,0.149174109358927,0.450257277069533,0.343442475304412,0.147469172563415,-0.00170493679551212,"max_iter reached without violation"
21,3470,"reverse",0.692768661890144,0.169814074037851,0.471641721555089,0.356647191881486,0.170247997110962,0.000433923073111658,"violation in reverse orientation",1,0.590344827586207,0,10050,0.168360934443892,0.704116419016761,0.362023211169682,0.463648110165616,0.696174075158667,-0.00794234385809367,"max_iter reached without violation",1,3470,0.692768661890144,0.169814074037851,0.471641721555089,0.356647191881486,0.170247997110962,0.000433923073111658,"violation"
22,7280,"forward",0.145578542287701,0.737205030666794,0.337898435130248,0.449776122039095,0.737287421255351,8.23905885561915e-05,"violation in forward orientation",1,0.590344827586207,1,7280,0.145578542287701,0.737205030666794,0.337898435130248,0.449776122039095,0.737287421255351,8.23905885561915e-05,"violation",0,10050,0.665914655232498,0.189636544214125,0.477451890679229,0.380582954248776,0.185128773518719,-0.00450777069540567,"max_iter reached without violation"
23,5560,"reverse",0.691226806231791,0.171007207709495,0.470485136757513,0.361079729760235,0.171102395100711,9.51873912159451e-05,"violation in reverse orientation",1,0.590344827586207,0,10050,0.153306415705507,0.734364286389406,0.347605371534226,0.450016707197095,0.723341619065685,-0.0110226673237215,"max_iter reached without violation",1,5560,0.691226806231791,0.171007207709495,0.470485136757513,0.361079729760235,0.171102395100711,9.51873912159451e-05,"violation"
24,4020,"forward",0.155173551587812,0.719861988771665,0.343652912578455,0.460291438881613,0.719972165883927,0.000110177112261689,"violation in forward orientation",1,0.590344827586207,1,4020,0.155173551587812,0.719861988771665,0.343652912578455,0.460291438881613,0.719972165883927,0.000110177112261689,"violation",1,7270,0.702132585869221,0.164717539742857,0.465437663770871,0.356869063198367,0.165059108137771,0.000341568394913477,"violation"
25,6780,"forward",0.169057497862703,0.694217406563577,0.360507067557989,0.468731934705824,0.694917049438123,0.000699642874545492,"violation in forward orientation",1,0.590344827586207,1,6780,0.169057497862703,0.694217406563577,0.360507067557989,0.468731934705824,0.694917049438123,0.000699642874545492,"violation",0,10050,0.738957002930857,0.155784136601359,0.447722010446937,0.350057628199723,0.144653366691953,-0.011130769909406,"max_iter reached without violation"
26,10050,"reverse",0.709310933272195,0.161870085531818,0.461484223910841,0.355946197622048,0.161081326198462,-0.000788759333355676,"max_iter reached without violation in either orientation",0,0.590344827586207,0,10050,0.172478154214086,0.691658872364364,0.365773485665339,0.468551170631354,0.688744096769761,-0.00291477559460274,"max_iter reached without violation",0,10050,0.709310933272195,0.161870085531818,0.461484223910841,0.355946197622048,0.161081326198462,-0.000788759333355676,"max_iter reached without violation"
27,10050,"forward",0.142140910803242,0.74784292043463,0.336139152676581,0.443105044703362,0.743491007428587,-0.00435191300604243,"max_iter reached without violation in either orientation",0,0.590344827586207,0,10050,0.142140910803242,0.74784292043463,0.336139152676581,0.443105044703362,0.743491007428587,-0.00435191300604243,"max_iter reached without violation",0,10050,0.71900693581323,0.161766993038004,0.457251943265752,0.355848010030153,0.155708420482692,-0.00605857255531134,"max_iter reached without violation"
