"eps","n_done","n_expected","n_reject","rejection_rate","rejection_se","rejection_ci_low","rejection_ci_high","mean_stop_reject","sd_stop_reject","se_stop_reject","stop_reject_ci_low","stop_reject_ci_high","mean_runtime","sd_runtime","se_runtime","mean_stop_all","sd_stop_all","se_stop_all","csv"
0.01,400,400,400,1,0,1,1,85.2,41.4820672672169,2.07410336336084,81.1347574078128,89.2652425921872,85.2,41.4820672672169,2.07410336336084,85.2,41.4820672672169,2.07410336336084,"results/nondp_laplace_auditor_sweep/stops_burn50_       0.01NONDP.csv"
0.0441379310344828,400,400,400,1,0,1,1,87,45.3170396783929,2.26585198391964,82.5589301115175,91.4410698884825,87,45.3170396783929,2.26585198391964,87,45.3170396783929,2.26585198391964,"results/nondp_laplace_auditor_sweep/stops_burn50_0.04413793103NONDP.csv"
0.0782758620689655,400,400,400,1,0,1,1,91.825,48.8609030269758,2.44304515134879,87.0366315033564,96.6133684966436,91.825,48.8609030269758,2.44304515134879,91.825,48.8609030269758,2.44304515134879,"results/nondp_laplace_auditor_sweep/stops_burn50_0.07827586207NONDP.csv"
0.112413793103448,400,400,400,1,0,1,1,96.125,51.6469058338011,2.58234529169005,91.0636032282875,101.186396771713,96.125,51.6469058338011,2.58234529169005,96.125,51.6469058338011,2.58234529169005,"results/nondp_laplace_auditor_sweep/stops_burn50_0.1124137931NONDP.csv"
0.146551724137931,400,400,400,1,0,1,1,101.425,54.2039162454232,2.71019581227116,96.1130162079485,106.736983792051,101.425,54.2039162454232,2.71019581227116,101.425,54.2039162454232,2.71019581227116,"results/nondp_laplace_auditor_sweep/stops_burn50_0.1465517241NONDP.csv"
0.180689655172414,400,400,400,1,0,1,1,107.975,60.0388293320991,3.00194146660495,102.091194725454,113.858805274546,107.975,60.0388293320991,3.00194146660495,107.975,60.0388293320991,3.00194146660495,"results/nondp_laplace_auditor_sweep/stops_burn50_0.1806896552NONDP.csv"
0.214827586206897,400,400,400,1,0,1,1,112.65,63.3522791870623,3.16761395935312,106.441476639668,118.858523360332,112.65,63.3522791870623,3.16761395935312,112.65,63.3522791870623,3.16761395935312,"results/nondp_laplace_auditor_sweep/stops_burn50_0.2148275862NONDP.csv"
0.248965517241379,400,400,400,1,0,1,1,114.325,68.0449827260281,3.40224913630141,107.656591692849,120.993408307151,114.325,68.0449827260281,3.40224913630141,114.325,68.0449827260281,3.40224913630141,"results/nondp_laplace_auditor_sweep/stops_burn50_0.2489655172NONDP.csv"
0.283103448275862,400,400,400,1,0,1,1,117.175,66.4854884575469,3.32427442287734,110.65942213116,123.69057786884,117.175,66.4854884575469,3.32427442287734,117.175,66.4854884575469,3.32427442287734,"results/nondp_laplace_auditor_sweep/stops_burn50_0.2831034483NONDP.csv"
0.317241379310345,400,400,400,1,0,1,1,127.475,81.3690769993695,4.06845384996848,119.500830454062,135.449169545938,127.475,81.3690769993695,4.06845384996848,127.475,81.3690769993695,4.06845384996848,"results/nondp_laplace_auditor_sweep/stops_burn50_0.3172413793NONDP.csv"
0.351379310344828,400,400,400,1,0,1,1,133.325,86.2309911492757,4.31154955746379,124.874362867371,141.775637132629,133.325,86.2309911492757,4.31154955746379,133.325,86.2309911492757,4.31154955746379,"results/nondp_laplace_auditor_sweep/stops_burn50_0.3513793103NONDP.csv"
0.38551724137931,400,400,400,1,0,1,1,149.9,98.0102291219204,4.90051145609602,140.294997546052,159.505002453948,149.9,98.0102291219204,4.90051145609602,149.9,98.0102291219204,4.90051145609602,"results/nondp_laplace_auditor_sweep/stops_burn50_0.3855172414NONDP.csv"
0.419655172413793,400,400,400,1,0,1,1,143.45,95.2169268454655,4.76084634227328,134.118741169144,152.781258830856,143.45,95.2169268454655,4.76084634227328,143.45,95.2169268454655,4.76084634227328,"results/nondp_laplace_auditor_sweep/stops_burn50_0.4196551724NONDP.csv"
0.453793103448276,400,400,400,1,0,1,1,158.775,103.486826132399,5.17434130661995,148.633291039025,168.916708960975,158.775,103.486826132399,5.17434130661995,158.775,103.486826132399,5.17434130661995,"results/nondp_laplace_auditor_sweep/stops_burn50_0.4537931034NONDP.csv"
0.487931034482759,400,400,400,1,0,1,1,162.55,115.274533376253,5.76372666881263,151.253095729127,173.846904270873,162.55,115.274533376253,5.76372666881263,162.55,115.274533376253,5.76372666881263,"results/nondp_laplace_auditor_sweep/stops_burn50_0.4879310345NONDP.csv"
0.522068965517241,400,400,400,1,0,1,1,164.575,112.041074526052,5.60205372630261,153.594974696447,175.555025303553,164.575,112.041074526052,5.60205372630261,164.575,112.041074526052,5.60205372630261,"results/nondp_laplace_auditor_sweep/stops_burn50_0.5220689655NONDP.csv"
0.556206896551724,400,400,400,1,0,1,1,189.3,141.29905717625,7.06495285881251,175.452692396727,203.147307603273,189.3,141.29905717625,7.06495285881251,189.3,141.29905717625,7.06495285881251,"results/nondp_laplace_auditor_sweep/stops_burn50_0.5562068966NONDP.csv"
0.590344827586207,400,400,400,1,0,1,1,196.025,176.528624486676,8.8264312243338,178.725194800306,213.324805199694,196.025,176.528624486676,8.8264312243338,196.025,176.528624486676,8.8264312243338,"results/nondp_laplace_auditor_sweep/stops_burn50_0.5903448276NONDP.csv"
0.62448275862069,400,400,400,1,0,1,1,211.25,208.378240774007,10.4189120387004,190.828932404147,231.671067595853,211.25,208.378240774007,10.4189120387004,211.25,208.378240774007,10.4189120387004,"results/nondp_laplace_auditor_sweep/stops_burn50_0.6244827586NONDP.csv"
0.658620689655173,400,400,400,1,0,1,1,300.175,492.385853723854,24.6192926861927,251.921186335062,348.428813664938,300.175,492.385853723854,24.6192926861927,300.175,492.385853723854,24.6192926861927,"results/nondp_laplace_auditor_sweep/stops_burn50_0.6586206897NONDP.csv"
