"trial","stopped_at_n","T1_","T2_","s1","s2","beta_allowed","reason"
1,140,0.312283473949974,0.295531633631079,0.410325903324145,0.4,0.30481142639473,"violation"
2,690,0.174488071284266,0.470909796537216,0.343034630648258,0.4928836145673,0.474714871151795,"violation"
3,170,0.259281404809529,0.347368680480628,0.381220041082815,0.43469752439629,0.361505471436299,"violation"
4,150,0.315652088477868,0.284521028803744,0.41424630354416,0.39491208585653,0.301494157828808,"violation"
5,190,0.318385915009124,0.294419647986297,0.421841366516082,0.407682457495518,0.298825016107447,"violation"
6,290,0.556168659741888,0.120282502195473,0.499238421186772,0.264777294075207,0.126880379479219,"violation"
7,700,0.293408642781799,0.322204214839931,0.430509901756283,0.445428021625245,0.323998683882603,"violation"
8,200,0.215673169061433,0.408236952545974,0.352100837829165,0.464515877016061,0.415620531703973,"violation"
9,130,0.280701910021007,0.335112529618608,0.387985237320569,0.421325044234743,0.33751950197398,"violation"
10,410,0.318182083899066,0.294379996803001,0.436476345565202,0.423464086130941,0.299023318777796,"violation"
11,470,0.318041214667083,0.295116392101519,0.438401144619218,0.42604224717562,0.299160433484812,"violation"
12,320,0.312461878716511,0.302168883497839,0.42934361238989,0.423607553491436,0.304634949308792,"violation"
13,150,0.307926670859086,0.30016392665215,0.409661106552992,0.404914257041606,0.309148937011011,"violation"
14,450,0.302943921130885,0.312535587668118,0.429757324573638,0.434920171474669,0.31417594883027,"violation"
15,260,0.339240003242705,0.275073649140433,0.43947251867956,0.402855928848371,0.279118618186264,"violation"
16,140,0.287085209678121,0.303930444837188,0.394541842275471,0.40525879864298,0.3306642029628,"violation"
17,560,0.268571523676741,0.350651451945681,0.412789786893117,0.455882050400705,0.350911414337364,"violation"
18,240,0.384210969161363,0.235151242456367,0.458257569495584,0.372677996249965,0.240230808519479,"violation"
19,100,0.300516957365469,0.288231278513246,0.392300904918661,0.384187454245971,0.316650537327635,"violation at burn-in"
20,100,0.288231278513246,0.288231278513246,0.384187454245971,0.384187454245971,0.329446973518211,"violation at burn-in"
21,190,0.0201527472911315,0.850644603247088,0.072356458341408,0.425144590036934,0.853279823718913,"violation"
22,330,0.319940223908161,0.296700479786888,0.433883947701989,0.421026774132325,0.297316581257993,"violation"
23,200,0.320104427827204,0.291754318101975,0.423998820753077,0.407308237088326,0.297157606498141,"violation"
24,260,0.322316591096552,0.292380041852752,0.430769230769231,0.413725318361415,0.295022984249169,"violation"
25,300,0.29577327663262,0.32147316779136,0.418675159149536,0.433012701892219,0.321537486131063,"violation"
