"trial","stopped_at_n","T1_","T2_","s1","s2","beta_allowed","reason"
1,120,0.626928572123602,0.049165228735008,0.5,0.12801909579781,0.052216779028703,"violation"
2,10100,0.607251017359228,0.0647540488067266,0.491797028482078,0.231331098322879,0.0579565692137593,"max_iter reached without violation"
3,10100,0.638793785343409,0.0584057396140794,0.484892597686384,0.219572866943202,0.0489382679210256,"max_iter reached without violation"
4,8050,0.605830122725303,0.0583664982773377,0.492358552064193,0.218073145442629,0.0583860748288029,"violation"
5,10100,0.641934083144361,0.0485065438931142,0.484084547605548,0.199636960968373,0.0480928633953112,"max_iter reached without violation"
6,10100,0.519812469596096,0.0932642237923039,0.499993873112152,0.276882298946422,0.0885588553174683,"max_iter reached without violation"
7,10100,0.607152636758799,0.0644372527154529,0.491815177088773,0.230761048922545,0.0579862411066863,"max_iter reached without violation"
8,10100,0.52357370910218,0.0934725601878181,0.499961090535853,0.27717982259451,0.0870534980792881,"max_iter reached without violation"
9,8580,0.647976861085682,0.0464824439232348,0.482785473364313,0.194254153028814,0.0464918774705977,"violation"
10,10100,0.561822919715044,0.0742310732029124,0.498010944156804,0.247658003737045,0.072752637863333,"max_iter reached without violation"
11,10100,0.654683612362929,0.0479719432474818,0.480573131023101,0.198496332560075,0.0447542124362936,"max_iter reached without violation"
12,10100,0.58667405571263,0.0682348251362633,0.49514549564414,0.237486841740758,0.0643815453990913,"max_iter reached without violation"
13,10100,0.588644475216885,0.0711827679240644,0.494863489804824,0.242552918843226,0.0637469313215641,"max_iter reached without violation"
14,10100,0.658407966675284,0.0490408775164548,0.479476604163133,0.200769888632611,0.0438068484098027,"max_iter reached without violation"
15,10100,0.604200886928635,0.0635921575877916,0.492350065901684,0.229232105304093,0.0588811012832207,"max_iter reached without violation"
16,10100,0.526641361452184,0.0938891851439898,0.49991337353693,0.277773490365457,0.085839345194231,"max_iter reached without violation"
17,10100,0.614430866287719,0.0590417971551444,0.49041637889028,0.220784065032371,0.0558175813683954,"max_iter reached without violation"
18,6840,0.636760553583673,0.0494864343304412,0.486128149022086,0.199154309192846,0.049490574175881,"violation"
19,10100,0.638793785343409,0.0533064471997085,0.484892597686384,0.209570892128573,0.0489382679210256,"max_iter reached without violation"
20,10100,0.650369821318345,0.0480788849586442,0.481802972696889,0.198725080653197,0.0458671771571078,"max_iter reached without violation"
21,10100,0.632707289589966,0.0521349696038454,0.486395649013916,0.207195434419558,0.0506032696732942,"max_iter reached without violation"
22,2820,0.614521856360475,0.0556651819492967,0.492642282687157,0.204241466728852,0.055790807039744,"violation"
23,10100,0.519713476351204,0.0995075722760727,0.499994353462872,0.285613533778399,0.0885987253628981,"max_iter reached without violation"
24,10100,0.639186364387444,0.0502154935305081,0.484792797455833,0.20323585622031,0.0488320758796306,"max_iter reached without violation"
25,10100,0.659975783263441,0.0450802814773113,0.479005316797468,0.19219798307875,0.0434117622336008,"max_iter reached without violation"
26,10100,0.63044867273929,0.0564958133745066,0.486932374100714,0.21588869955382,0.0512300922410272,"max_iter reached without violation"
27,10100,0.697933196217206,0.0349381660454875,0.465784542124773,0.168111814569422,0.0344965165989734,"max_iter reached without violation"
28,5480,0.55530619845373,0.0749837517684674,0.498907879412854,0.244843934239421,0.0750640491707138,"violation"
29,10100,0.519713476351204,0.100546820584582,0.499994353462872,0.287030966633033,0.0885987253628981,"max_iter reached without violation"
30,10100,0.621017212242664,0.0592537529350648,0.489051776436085,0.221185969302691,0.0539007882551961,"max_iter reached without violation"
31,10100,0.549578499576568,0.0797901456566648,0.498957092915345,0.256642830786023,0.0771369364392053,"max_iter reached without violation"
32,7140,0.630295159457939,0.0512672084735237,0.487572390350779,0.203166021129233,0.0512728733659568,"violation"
33,10100,0.605480057321278,0.0608424316197712,0.492120553276293,0.224171710063043,0.0584922089946766,"max_iter reached without violation"
34,10100,0.618461702514615,0.0578754711051367,0.489592447481493,0.21855717445563,0.0546394010728009,"max_iter reached without violation"
35,10100,0.601937444639559,0.0684455537177664,0.492747628576832,0.237853354430625,0.0595733566089533,"max_iter reached without violation"
36,10100,0.499802029532559,0.104907799261963,0.499692788671881,0.292872743153049,0.0968855516924739,"max_iter reached without violation"
37,10100,0.539103152972563,0.0832442204514436,0.499525311382804,0.262028519824562,0.0810303292152612,"max_iter reached without violation"
38,10100,0.557775528923382,0.08209344964707,0.498357453004961,0.260250232113943,0.0741823608702818,"max_iter reached without violation"
39,8110,0.665975449334668,0.0418621475875527,0.477642850592673,0.183514350279823,0.041920027830012,"violation"
40,8950,0.580873874277162,0.0662690593360779,0.496041330905229,0.233299219782504,0.0662740046053182,"violation"
41,10100,0.520703378206262,0.0961794991334598,0.499988667649247,0.281006268766325,0.0882006160939061,"max_iter reached without violation"
42,10100,0.697444835509149,0.0375402418929746,0.465977442547429,0.174624837688827,0.0346035305665226,"max_iter reached without violation"
43,10100,0.565573127294829,0.0757009665099779,0.497660008214544,0.250073432995212,0.0714448207197644,"max_iter reached without violation"
44,10100,0.546021695233812,0.0831396287170567,0.499174890216294,0.261867543487772,0.0784439317749972,"max_iter reached without violation"
45,8300,0.58406138144147,0.0651883379254852,0.495701526024662,0.230896282640505,0.0652294718372337,"violation"
46,10100,0.620918932477987,0.0566019908961701,0.489072833078355,0.216095408933601,0.0539290748098033,"max_iter reached without violation"
47,10100,0.647623914961237,0.0500020194081076,0.482563490943817,0.20279016396976,0.0465844608955378,"max_iter reached without violation"
48,10100,0.66095556815222,0.0479719432474818,0.478707864452095,0.198496332560075,0.0431659719415732,"max_iter reached without violation"
49,10100,0.685424613181647,0.0398094717400285,0.470533926786613,0.180104942776995,0.0372994609102935,"max_iter reached without violation"
50,10100,0.667909804752917,0.0454019927948755,0.47653146489564,0.19290978431338,0.0414458423956045,"max_iter reached without violation"
51,10100,0.568434458106707,0.0783231461819585,0.497372874705186,0.254310857714983,0.070457821831018,"max_iter reached without violation"
52,10100,0.481153476002781,0.114336548220963,0.498692290483999,0.304952038057045,0.105149956213345,"max_iter reached without violation"
53,10100,0.510999408503645,0.103766229667093,0.499959845461429,0.291359812162081,0.0921592868006447,"max_iter reached without violation"
54,10100,0.625144305138574,0.061159961491615,0.488148443661066,0.224762921203578,0.0527214860833104,"max_iter reached without violation"
55,10100,0.520802364652475,0.0958672941734617,0.499987991229184,0.280568624517114,0.0881608773449974,"max_iter reached without violation"
56,10100,0.63614356522211,0.055008430056851,0.485557263655482,0.212968870103988,0.0496589437955019,"max_iter reached without violation"
57,10100,0.622491321477609,0.0585117691441716,0.48873341099704,0.219775308345182,0.0534776532927574,"max_iter reached without violation"
58,10100,0.586772583342031,0.0705514690588855,0.495131587254526,0.241478957779532,0.0643497132850435,"max_iter reached without violation"
59,1040,0.660683610317695,0.0428963158182208,0.486275202416499,0.16464222911959,0.0432341099918581,"violation"
60,10100,0.67055333759806,0.0436849385520231,0.475673942360974,0.189077157667997,0.0408031000082219,"max_iter reached without violation"
61,10100,0.550763904060743,0.0819888053721597,0.498878813522198,0.260087740543648,0.0767047237370632,"max_iter reached without violation"
62,6920,0.657344402396446,0.0440098268664955,0.480618632360204,0.187323373990671,0.0440761159932401,"violation"
63,10100,0.52406853594315,0.0995075722760727,0.499954669055781,0.285613533778399,0.0868568259751708,"max_iter reached without violation"
64,10100,0.649879524504783,0.0517086932077752,0.481940037133476,0.206323425585888,0.0459947460855404,"max_iter reached without violation"
65,1750,0.559597331772696,0.0726502562249755,0.499450800420638,0.229921725811199,0.0735364563996206,"violation"
66,8530,0.64865885201596,0.0462400693251482,0.482611185732645,0.193687035976668,0.0463133042621264,"violation"
67,10100,0.542365168094223,0.0890940622500792,0.499372128078585,0.270832802339119,0.07980356373161,"max_iter reached without violation"
68,10100,0.643896379973132,0.0513888844252897,0.483568289245366,0.205666492188725,0.0475692615081711,"max_iter reached without violation"
69,10100,0.521000335505253,0.0971159078486576,0.499986579566976,0.282313255859301,0.0880814391617747,"max_iter reached without violation"
70,10100,0.667811885115784,0.0472230449040077,0.476562907375107,0.196886260537082,0.0414697675162473,"max_iter reached without violation"
71,10100,0.647918147621353,0.0520284149110089,0.482482826101199,0.206977847675754,0.0465072710196748,"max_iter reached without violation"
72,6790,0.713514118699703,0.0310889204318582,0.460535183817577,0.15533862434505,0.0311833104438766,"violation"
73,10100,0.569519638592919,0.0747561593194199,0.497259581568441,0.24852423949764,0.0700859309291822,"max_iter reached without violation"
74,10100,0.597114076600074,0.067180799184429,0.493558507170123,0.235643231549811,0.0610662641233169,"max_iter reached without violation"
75,4460,0.664809099301469,0.0421498602659857,0.479565908249455,0.179699673040606,0.0422075334771626,"violation"
76,10100,0.64703542922644,0.0513888844252897,0.482724231886678,0.205666492188725,0.0467390847495524,"max_iter reached without violation"
77,9080,0.590940058795474,0.0629774437997987,0.494639694123177,0.227463596748313,0.0630128421102396,"violation"
78,4650,0.617456367591181,0.0548513498222711,0.491088630033593,0.20718608152651,0.0549317400769708,"violation"
79,10100,0.508621930721009,0.103973818508002,0.499924080110104,0.291635776836025,0.0931484165042555,"max_iter reached without violation"
80,10100,0.536235920682483,0.085439568911378,0.499642250213306,0.2653779351895,0.0821195004261044,"max_iter reached without violation"
81,10100,0.558170447162259,0.0771697946472644,0.498325113586991,0.252458143470338,0.0740420167746749,"max_iter reached without violation"
82,10100,0.657427981050949,0.0467948588838143,0.479768267429507,0.195959179422654,0.0440549192790989,"max_iter reached without violation"
83,10100,0.463673303929119,0.126113620300952,0.497122580174785,0.319081676630202,0.113366718482094,"max_iter reached without violation"
84,10100,0.521198303638481,0.0951386809837052,0.499985089474765,0.279543562741566,0.0880020533697491,"max_iter reached without violation"
85,10100,0.621803424197454,0.0616890285224012,0.488882568785338,0.225743963865794,0.0536748450446411,"max_iter reached without violation"
86,8570,0.652062707052092,0.0453925300308384,0.481656832011841,0.191854683276586,0.0454283950958326,"violation"
87,1070,0.527224395406343,0.0855118702214994,0.49968458913508,0.243952087897652,0.0856099572004402,"violation"
88,10100,0.579775385369572,0.0742310732029124,0.496069009622267,0.247658003737045,0.0666365501203941,"max_iter reached without violation"
89,10100,0.564290273474406,0.0759108636014934,0.497783293249709,0.250415966070718,0.0718903721142013,"max_iter reached without violation"
90,10100,0.568730424711468,0.0749661549318195,0.497342215664831,0.248869613849459,0.0703562617602153,"max_iter reached without violation"
91,8030,0.626950813457966,0.0521801771774624,0.488120518180366,0.205835534328503,0.0522105072125862,"violation"
92,10100,0.52288092296531,0.0911799704417382,0.499969256970757,0.27388141289718,0.0873293846529146,"max_iter reached without violation"
93,10100,0.624260036332017,0.0538385654019674,0.488345136613114,0.210639928532571,0.0529727618822753,"max_iter reached without violation"
94,10100,0.612169134818973,0.0631694412679537,0.490863280477932,0.228462766684639,0.0564857752015028,"max_iter reached without violation"
95,10100,0.536235920682483,0.0958672941734617,0.499642250213306,0.280568624517114,0.0821195004261044,"max_iter reached without violation"
96,10100,0.528719077157275,0.0885723200850891,0.4998703390355,0.27006300390071,0.0850238835018594,"max_iter reached without violation"
