"trial","stopped_at_n","T1_","T2_","s1","s2","beta_allowed","reason"
1,80,0.483317063043055,0.510742461219611,0.472857007984443,0.480722113075735,0.512696235565597,"violation"
2,60,0.403717571182195,0.57391157915273,0.433012701892219,0.489897948556636,0.592405105123072,"violation"
3,60,0.320695144949078,0.660732458261016,0.386939558874797,0.499722145018832,0.675717212507889,"violation"
4,160,0.359551301379977,0.635149404513464,0.439992897669951,0.499374608885954,0.636702462532936,"violation"
5,120,0.406786496015982,0.584529067677948,0.454529671443155,0.498260864295892,0.589328966711805,"violation"
6,50,0.380841135953769,0.611636015273282,0.41424630354416,0.493558507170123,0.615343028910756,"violation at burn-in"
7,160,0.441800292651443,0.54048981499987,0.472857007984443,0.495250883391438,0.554249987731937,"violation"
8,90,0.611929789453768,0.382557810392953,0.498887651569859,0.436173031697567,0.384244361676209,"violation"
9,50,0.355309664397885,0.632734224924611,0.4,0.496386945839634,0.640959411295948,"violation at burn-in"
10,310,0.612840321757219,0.380906719184521,0.498958332201872,0.461019546063111,0.383336471001375,"violation"
11,140,0.454475003018401,0.53754339730447,0.474664220738176,0.493787940934411,0.541559376609376,"violation"
12,400,0.249122150951955,0.742265642953855,0.39426355398388,0.46837484987988,0.747695304605409,"violation"
13,60,0.276758756499518,0.69406579159435,0.357071421427142,0.499722145018832,0.719884178127673,"violation"
14,170,0.417407922290724,0.577543107503539,0.465561386762574,0.499134198484622,0.578684449813884,"violation"
15,110,0.548477819892085,0.431160767519384,0.49326036240911,0.462118728259594,0.447564724679875,"violation"
16,280,0.389077332525486,0.584664445467939,0.462786039512156,0.5,0.60708312024363,"violation"
17,230,0.413129166289381,0.579764100430774,0.468779535931474,0.499829838719997,0.582972158363101,"violation"
18,160,0.435066297962631,0.553337215511108,0.470662764089109,0.49682586235018,0.560994087254643,"violation"
19,100,0.286281962778238,0.706958201111235,0.384187454245971,0.495075751779463,0.710306213675354,"violation"
20,70,0.664583425605726,0.295485970826031,0.5,0.376883027379226,0.331779458307687,"violation"
21,230,0.33760990706536,0.653018213570981,0.43671310546391,0.496281065556853,0.658728320899354,"violation"
22,160,0.421536020354439,0.488381757418478,0.465991885658967,0.485693769262073,0.574548159865064,"violation"
23,380,0.49902683599045,0.496336555557645,0.494540834632605,0.494141579182534,0.496983770906932,"violation"
24,130,0.575167891229933,0.403140708644293,0.497865265393366,0.454822938433676,0.420917488594728,"violation"
25,290,0.420368541599917,0.572929020933456,0.474172412539276,0.499892973087452,0.5757179110841,"violation"
26,230,0.52682864750632,0.468306174331892,0.495728445695277,0.484953177245992,0.469192359564942,"violation"
27,220,0.478687362811676,0.511708575458514,0.486915574673376,0.49326036240911,0.517327910263126,"violation"
28,90,0.482806487122518,0.482806487122518,0.475186772896513,0.475186772896513,0.51320700283785,"violation"
29,140,0.61757559900731,0.375999519186982,0.5,0.444696640464954,0.378615280133213,"violation"
30,50,0.405825344007294,0.523928875729657,0.427083130081252,0.47370877129308,0.590292351740618,"violation at burn-in"
31,330,0.602596773768899,0.381594203613267,0.499411959074721,0.462118728259594,0.393551542095401,"violation"
32,50,0.380841135953769,0.568463014294721,0.41424630354416,0.485386443980464,0.615343028910756,"violation at burn-in"
33,100,0.261418228847823,0.697320931014979,0.366606055596467,0.496386945839634,0.735318665978057,"violation"
34,140,0.515200089507998,0.469817299375258,0.489897948556636,0.479157423749955,0.48081420969174,"violation"
35,210,0.368068066504316,0.625323654601902,0.449464281772834,0.499183005990176,0.62815640896201,"violation"
36,370,0.693805276807462,0.301206833520603,0.484982660673685,0.42575932254087,0.3026947944022,"violation"
37,170,0.4802896846191,0.504975721244127,0.4845002419288,0.489897948556636,0.515724844206949,"violation"
38,50,0.477929573315374,0.477929573315374,0.458257569495584,0.458257569495584,0.51808607419564,"violation at burn-in"
39,160,0.481785267433556,0.508059093004876,0.484122918275927,0.489897948556636,0.514228624887425,"violation"
40,110,0.567365854637935,0.410882355540043,0.495933879890395,0.454181672610793,0.4287051356604,"violation"
41,50,0.568463014294721,0.355309664397885,0.485386443980464,0.4,0.42760990604004,"violation at burn-in"
42,90,0.445909584159015,0.530835647314261,0.462948147911104,0.487498021521785,0.550135095420296,"violation"
43,360,0.544665381286143,0.442191840257025,0.499065484705856,0.482654376250315,0.451372514774672,"violation"
