"eta","alpha","beta"
0,4.55880734745451e-05,0.995630164615203
0.015015015015015,8.02089671504413e-05,0.993511410645884
0.03003003003003,0.000135629927602632,0.991073894136482
0.045045045045045,0.000219256899636422,0.988285577620276
0.0600600600600601,0.000340831412017684,0.98572065973775
0.0750750750750751,0.00051259464809672,0.983350535973909
0.0900900900900901,0.000821262385955923,0.980187145651116
0.105105105105105,0.00221731524677726,0.969563362792973
0.12012012012012,0.00415966214567975,0.955512654710861
0.135135135135135,0.00633711514056079,0.940268252823335
0.15015015015015,0.00873864412739467,0.92401002475352
0.165165165165165,0.0113612571790934,0.906859779709252
0.18018018018018,0.0142104313357285,0.88890399788541
0.195195195195195,0.0169960599929408,0.872356043569351
0.21021021021021,0.0190192304761584,0.862171580417742
0.225225225225225,0.0211289283749089,0.852555857245677
0.24024024024024,0.0235414855091572,0.842374233932289
0.255255255255255,0.0264253897185385,0.831041408325405
0.27027027027027,0.029995860224639,0.817896211924623
0.285285285285285,0.0344178799224942,0.802516989320632
0.3003003003003,0.0397108303606003,0.784960162163871
0.315315315315315,0.0457710511994728,0.765657085278619
0.33033033033033,0.0524495111082833,0.745148794276687
0.345345345345345,0.0595499016180658,0.72409385387202
0.36036036036036,0.0668148929551239,0.70330299943172
0.375375375375375,0.073967559413854,0.683590841220984
0.39039039039039,0.0808176858967904,0.665446000310295
0.405405405405405,0.0873199982643972,0.648890920568015
0.42042042042042,0.0935204605541922,0.633704216730263
0.435435435435435,0.0994776740961544,0.619650743940497
0.45045045045045,0.1052554850777,0.606506971946678
0.465465465465465,0.110918808723505,0.594068735201065
0.48048048048048,0.11652915279779,0.582155954053997
0.495495495495495,0.12214677512453,0.570610040169861
0.510510510510511,0.127817925491835,0.559314995293975
0.525525525525526,0.133589334389275,0.548163036780035
0.540540540540541,0.139496349043529,0.537078523579014
0.555555555555556,0.145556796364099,0.526021578000156
0.570570570570571,0.151783500610844,0.514965991846657
0.585585585585586,0.158175087350907,0.503910592443849
0.600600600600601,0.164710611791884,0.492887722674404
0.615615615615616,0.171343854258045,0.481968469309463
0.630630630630631,0.178038168183081,0.471206783164011
0.645645645645646,0.184718158457148,0.460711121968842
0.660660660660661,0.191351135358371,0.450522723929108
0.675675675675676,0.197860661263879,0.440741969686231
0.690690690690691,0.204198153074553,0.431423677807779
0.705705705705706,0.210344562118071,0.422581164177733
0.720720720720721,0.216278200836413,0.4142223424433
0.735735735735736,0.221997976213728,0.406331006432852
0.750750750750751,0.227486420801465,0.398911711986815
0.765765765765766,0.232785356879565,0.391894350953028
0.780780780780781,0.237896080574878,0.385258485491463
0.795795795795796,0.242833074255302,0.378971316147916
0.810810810810811,0.247596033468829,0.373022001597269
0.825825825825826,0.252231457397171,0.36733776430995
0.840840840840841,0.25671133030247,0.361945450921649
0.855855855855856,0.261121889499575,0.356732599944452
0.870870870870871,0.265429427147926,0.351730510108247
0.885885885885886,0.269629419222727,0.346936867805066
0.900900900900901,0.273754903844943,0.342308792836851
0.915915915915916,0.277816995942445,0.33782947497353
0.930930930930931,0.281777352091009,0.33353163060675
0.945945945945946,0.285734959922225,0.329308778846007
0.960960960960961,0.289605556409617,0.325241232053572
0.975975975975976,0.293493121256926,0.321221213852407
0.990990990990991,0.297270583759527,0.317374458740193
1.00600600600601,0.301074600594368,0.313561221038296
1.02102102102102,0.30483078912236,0.309848418059775
1.03603603603604,0.308555473632681,0.306225268751594
1.05105105105105,0.312289685806395,0.302641938022318
1.06606606606607,0.315948696498343,0.299182247752725
1.08108108108108,0.319679469434864,0.295703965170764
1.0960960960961,0.323312610728227,0.292364232833415
1.11111111111111,0.326999585826081,0.289019273073491
1.12612612612613,0.330648389638702,0.285756877015728
1.14114114114114,0.334298526868182,0.282533838718739
1.15615615615616,0.337935238708398,0.279365018300752
1.17117117117117,0.341600023330084,0.276215153718333
1.18618618618619,0.34527240594199,0.273096716108642
1.2012012012012,0.348884142258081,0.270068884533617
1.21621621621622,0.352557999538411,0.267028757954007
1.23123123123123,0.356263618137653,0.263998764687167
1.24624624624625,0.359913432565852,0.261051085186577
1.26126126126126,0.363553857836681,0.258145613112587
1.27627627627628,0.367292755854222,0.255197941369335
1.29129129129129,0.37101551314546,0.252296969720161
1.30630630630631,0.374695228060227,0.249463161084868
1.32132132132132,0.378397356976504,0.246643435849245
1.33633633633634,0.382201083494813,0.243780226204725
1.35135135135135,0.385962034015658,0.24098144849501
1.36636636636637,0.389711320743977,0.238221794338182
1.38138138138138,0.393480782305297,0.235476306174865
1.3963963963964,0.397351510708181,0.232688599930915
1.41141141141141,0.401184902268217,0.229958315731367
1.42642642642643,0.405012650314045,0.227260476814029
1.44144144144144,0.408858197559122,0.224577237878702
1.45645645645646,0.412794562933496,0.22185977360699
1.47147147147147,0.416720980854855,0.219177935939455
1.48648648648649,0.420635575037554,0.216531169084295
1.5015015015015,0.424568496695885,0.213897595869056
1.51651651651652,0.428584155057765,0.211235777513995
1.53153153153153,0.432621407002086,0.208586738762997
1.54654654654655,0.436624110677512,0.205986138424998
1.56156156156156,0.440648587648987,0.203395524407509
1.57657657657658,0.444769923180237,0.200768450595955
1.59159159159159,0.448909193657986,0.198155187272094
1.60660660660661,0.45300321443774,0.195595062262289
1.62162162162162,0.457122283604963,0.1930421754575
1.63663663663664,0.461358792533721,0.190441599313999
1.65165165165165,0.465582799010141,0.187872120955757
1.66666666666667,0.469756889893134,0.185356101806552
1.68168168168168,0.474009119057442,0.182815882246894
1.6966966966967,0.478325361094456,0.180260175214704
1.71171171171171,0.482594880782157,0.17775447370606
1.72672672672673,0.48684974291356,0.175279116021447
1.74174174174174,0.491212362730589,0.172763395459936
1.75675675675676,0.495578074702662,0.170266601623455
1.77177177177177,0.499842386348373,0.167849171118763
1.78678678678679,0.504214598032343,0.165391827337368
1.8018018018018,0.508606746040242,0.162943127183511
1.81681681681682,0.512927543407224,0.160554206394667
1.83183183183183,0.517269396807126,0.15817398839847
1.84684684684685,0.521661392523099,0.155785546516403
1.86186186186186,0.526015817166666,0.153436190398096
1.87687687687688,0.530308161637368,0.151139504757258
1.89189189189189,0.534677352201854,0.148820454546433
1.90690690690691,0.539036326974194,0.146524211822381
1.92192192192192,0.54326759610743,0.144313350930235
1.93693693693694,0.547572613374,0.142081652296982
1.95195195195195,0.551881368604882,0.139864694289899
1.96696696696697,0.556093831367679,0.137714111219954
1.98198198198198,0.560275557882929,0.135595329306087
1.996996996997,0.564520598094042,0.133460931702403
2.01201201201201,0.5687074694805,0.131371294899672
2.02702702702703,0.57279966715236,0.129344286264596
2.04204204204204,0.576904565975608,0.127325662283126
2.05705705705706,0.581046863208709,0.125303689643628
2.07207207207207,0.585080463286419,0.12334947598258
2.08708708708709,0.589070433884446,0.121430034753291
2.1021021021021,0.593054898108165,0.119526648165838
2.11711711711712,0.597080290125745,0.117617718792652
2.13213213213213,0.600986831777411,0.11577884000723
2.14714714714715,0.604871035421106,0.113962781902631
2.16216216216216,0.608732527551387,0.112169458190949
2.17717717717718,0.61264176934423,0.11036687610808
2.19219219219219,0.616447735918727,0.10862469467791
2.20720720720721,0.620229987435207,0.106904769493597
2.22222222222222,0.623991341821971,0.105205536601523
2.23723723723724,0.627752535417696,0.103517688009896
2.25225225225225,0.631489991795765,0.101852543395899
2.26726726726727,0.635180628582331,0.100219129418414
2.28228228228228,0.638849172448485,0.0986058314596426
2.2972972972973,0.642498299975706,0.0970112622092594
2.31231231231231,0.64616820910016,0.0954183888998035
2.32732732732733,0.649777273328471,0.0938626900171218
2.34234234234234,0.653368995177558,0.0923240587661484
2.35735735735736,0.656942968968701,0.0908025036199349
2.37237237237237,0.660513145862638,0.0892920540443654
2.38738738738739,0.664091659343787,0.0877882536174987
2.4024024024024,0.667612932840716,0.0863178197842009
2.41741741741742,0.671118099464063,0.084862896366114
2.43243243243243,0.674606753589078,0.0834235007462686
2.44744744744745,0.678158564089441,0.0819674857973795
2.46246246246246,0.681617970477678,0.0805583698233378
2.47747747747748,0.685060016493988,0.0791644790009035
2.49249249249249,0.688492425522746,0.0777826220420237
2.50750750750751,0.691987210803655,0.0763844039514999
2.52252252252252,0.695406957074473,0.0750245428775813
2.53753753753754,0.698783043029436,0.073689818240417
2.55255255255255,0.702176928219891,0.0723558959911429
2.56756756756757,0.705603316892788,0.0710171550697399
2.58258258258258,0.708949977732986,0.0697172800666074
2.5975975975976,0.712252668366628,0.0684417297126304
2.61261261261261,0.715601330753145,0.0671560418353046
2.62762762762763,0.718941804932026,0.0658806496618835
2.64264264264264,0.722179975956491,0.0646515821893546
2.65765765765766,0.725412452501368,0.0634314501759986
2.67267267267267,0.728675641908619,0.062206741317337
2.68768768768769,0.731884504839522,0.0610090369787304
2.7027027027027,0.735009034843738,0.0598493702598081
2.71771771771772,0.738143999769853,0.0586922273455587
2.73273273273273,0.741279185741334,0.0575413174533212
2.74774774774775,0.744314407959486,0.0564333549113315
2.76276276276276,0.747295547884707,0.0553508899632205
2.77777777777778,0.750261078465031,0.0542797943855267
2.79279279279279,0.753216924706533,0.0532180824718802
2.80780780780781,0.756067113791471,0.0522000102519564
2.82282282282282,0.758875236222714,0.0512021091969143
2.83783783783784,0.761639507358024,0.0502248251473614
2.85285285285285,0.76435109313701,0.0492711395944884
2.86786786786787,0.76697313394078,0.048354052148667
2.88288288288288,0.76956879036733,0.0474509143211673
2.8978978978979,0.772112230007783,0.0465704593890852
2.91291291291291,0.774602103336099,0.0457129328075425
2.92792792792793,0.777032515792913,0.0448801828836091
2.94294294294294,0.779366861555065,0.0440846223215275
2.95795795795796,0.781646568715148,0.0433115693776364
2.97297297297297,0.783872587838993,0.0425604817706228
2.98798798798799,0.78604153122396,0.041832302952938
3.003003003003,0.788150213004304,0.0411278694813067
3.01801801801802,0.790199698026243,0.0404465895845371
3.03303303303303,0.792184900537204,0.0397898954179625
3.04804804804805,0.794132919549303,0.0391487816158529
3.06306306306306,0.796038362611551,0.0385248574879639
3.07807807807808,0.797886164098065,0.0379227797176714
3.09309309309309,0.799675374807108,0.03734261659977
3.10810810810811,0.801403217007429,0.0367849850772739
3.12312312312312,0.803068836714813,0.0362498983650211
3.13813813813814,0.804731208765594,0.0357185683390407
3.15315315315315,0.806361479541662,0.0352000550067534
3.16816816816817,0.807935518231219,0.0347017133721759
3.18318318318318,0.809421075739201,0.0342335477717603
3.1981981981982,0.81089310278347,0.0337721081626419
3.21321321321321,0.81233969126597,0.0333207440481937
3.22822822822823,0.813725962152098,0.0328899625392714
3.24324324324324,0.815110605599687,0.0324616280475115
3.25825825825826,0.81646568543348,0.0320447783089724
3.27327327327327,0.81772448242912,0.0316591616124763
3.28828828828829,0.818997807648892,0.0312707638477336
3.3033033033033,0.820299755033711,0.0308755260074719
3.31831831831832,0.821442073425325,0.030530343749258
3.33333333333333,0.822651996329091,0.0301665026845755
3.34834834834835,0.823844296362148,0.0298093342230207
3.36336336336336,0.824936071529395,0.0294838541960068
3.37837837837838,0.826067617952016,0.0291482064981908
3.39339339339339,0.827147471438212,0.0288287255893227
3.40840840840841,0.828223534101281,0.02851259152762
3.42342342342342,0.829241443102169,0.0282143230492048
3.43843843843844,0.830309795206386,0.0279028132913939
3.45345345345345,0.831267011197009,0.0276250446815721
3.46846846846847,0.832295585512941,0.0273275394671915
3.48348348348348,0.833225495727242,0.0270601528280897
3.4984984984985,0.834177592406212,0.0267871633594867
3.51351351351351,0.835116465858776,0.0265194038940053
3.52852852852853,0.83600725560326,0.0262662409653058
3.54354354354354,0.836939550496346,0.0260025102859174
