"trial","stopped_at_n","T1_","T2_"
187,10100,1,0.01
188,10100,0.522312744607774,0.502008385467128
189,10100,0.523599373212568,0.506963307492539
190,10100,1,0.01
191,10100,0.521322951987809,0.512114619610669
192,10100,0.526765968663575,0.505675191661855
193,10100,1,0.01
194,10100,1,0.01
195,10100,0.515778855064602,0.507954087475456
196,10100,1,0.01
197,10100,1,0.01
198,10100,0.515283742581599,0.50854852276706
199,10100,1,0.01
200,10100,1,0.01
201,10100,0.5169670555774,0.512906965720188
202,10100,1,0.01
203,10100,1,0.01
204,10100,0.5247869282366,0.514887640339782
205,10100,0.527062801227604,0.507062388556459
206,10100,0.52270864258967,0.511718430213198
207,10100,0.520828030143736,0.503495040983231
208,10100,1,0.01
209,10100,0.521223968980789,0.505972459381465
210,10100,0.522411720124667,0.506566976423964
211,10100,0.520927015874339,0.51033168151787
212,10100,0.525578577101378,0.513006005919697
213,10100,1,0.01
214,10100,0.523302469133744,0.50577428158311
215,10100,0.526271234099611,0.506467891953554
216,10100,0.526864913532796,0.507656860633545
217,10100,0.526073335505828,0.504188761069909
218,10100,1,0.01
219,10100,1,0.01
220,10100,0.5276564479624,0.511619381161418
221,10100,1,0.01
222,10100,1,0.01
223,10100,0.52577648250655,0.509935443088085
224,10100,0.521817856809297,0.50537791780967
225,10100,0.521619896923438,0.508944799338234
226,10100,0.514392497218048,0.501116318525372
227,10100,0.522411720124667,0.502801287496922
228,10100,1,0.01
229,10100,0.525677530144525,0.511223178144513
230,10100,0.523203499745496,0.507161468939107
231,10100,0.522510694960617,0.50963825711459
232,10100,0.530723232006088,0.496853458352356
233,10100,0.519541153685999,0.503594145897542
234,10100,1,0.01
235,10100,0.520234101461561,0.501413680309416
236,10100,0.522807615382765,0.511421281014932
237,10100,0.52409419972391,0.508944799338234
238,10100,1,0.01
239,10100,1,0.01
240,10100,0.530129712009157,0.507161468939107
241,10100,0.522510694960617,0.50884573121715
242,10100,1,0.01
243,10100,0.519640148267956,0.507755936928729
244,10100,0.520432080412471,0.504585157553711
245,10100,1,0.01
246,10100,0.523302469133744,0.505675191661855
247,10100,0.52775538670046,0.508053161727015
248,10100,0.524292125561313,0.50963825711459
249,10100,0.524391087458464,0.509341065011348
250,10100,0.523896271162409,0.507359627660618
